Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","AFG","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","38928.346","X","International reliable sources",""
"OA","Annual population","ALB","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2877.797","X","International reliable sources",""
"OA","Annual population","DZA","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","43851.044","X","International reliable sources",""
"OA","Annual population","ASM","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","55.191","X","International reliable sources",""
"OA","Annual population","AND","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","77.265","X","International reliable sources",""
"OA","Annual population","AGO","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","32866.272","X","International reliable sources",""
"OA","Annual population","AIA","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","15.003","X","International reliable sources",""
"OA","Annual population","ATG","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","97.929","X","International reliable sources",""
"OA","Annual population","ARG","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","45195.774","X","International reliable sources",""
"OA","Annual population","ARM","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2963.243","X","International reliable sources",""
"OA","Annual population","ABW","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","106.766","X","International reliable sources",""
"OA","Annual population","AUS","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","25499.884","X","International reliable sources",""
"OA","Annual population","AUT","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","9006.398","X","International reliable sources",""
"OA","Annual population","AZE","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","10139.177","X","International reliable sources",""
"OA","Annual population","BHS","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","393.244","X","International reliable sources",""
"OA","Annual population","BHR","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1701.575","X","International reliable sources",""
"OA","Annual population","BGD","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","164689.383","X","International reliable sources",""
"OA","Annual population","BRB","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","287.375","X","International reliable sources",""
"OA","Annual population","BLR","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","9449.323","X","International reliable sources",""
"OA","Annual population","BEL","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","11589.623","X","International reliable sources",""
"OA","Annual population","BLZ","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","397.628","X","International reliable sources",""
"OA","Annual population","BEN","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","12123.2","X","International reliable sources",""
"OA","Annual population","BMU","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","62.278","X","International reliable sources",""
"OA","Annual population","BTN","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","771.608","X","International reliable sources",""
"OA","Annual population","BOL","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","11673.021","X","International reliable sources",""
"OA","Annual population","BES","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","26.223","X","International reliable sources",""
"OA","Annual population","BIH","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","3280.819","X","International reliable sources",""
"OA","Annual population","BWA","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2351.627","X","International reliable sources",""
"OA","Annual population","BRA","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","212559.417","X","International reliable sources",""
"OA","Annual population","VGB","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","30.231","X","International reliable sources",""
"OA","Annual population","BRN","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","437.479","X","International reliable sources",""
"OA","Annual population","BGR","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","6948.445","X","International reliable sources",""
"OA","Annual population","BFA","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","20903.273","X","International reliable sources",""
"OA","Annual population","BDI","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","11890.784","X","International reliable sources",""
"OA","Annual population","CPV","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","555.987","X","International reliable sources",""
"OA","Annual population","KHM","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","16718.965","X","International reliable sources",""
"OA","Annual population","CMR","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","26545.863","X","International reliable sources",""
"OA","Annual population","CAN","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","37742.154","X","International reliable sources",""
"OA","Annual population","CYM","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","65.722","X","International reliable sources",""
"OA","Annual population","CAF","Central African Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","4829.767","X","International reliable sources",""
"OA","Annual population","TCD","Chad","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","16425.864","X","International reliable sources",""
"OA","Annual population","CHA","Channel Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","173.863","X","International reliable sources",""
"OA","Annual population","CHL","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","19116.201","X","International reliable sources",""
"OA","Annual population","CHN","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1471286.867","A","Aggregate, may include official, semi-official, estimated or calculated data",""
