iso3,country,chicken_head,rabbit_head,duck_head,goose_head,turkey_head,other_rodents_head,pig_head,meat_goat_head,meat_sheep_head,camelids_head,meat_cattle_head,meat_camel_head,meat_buffalo_head,mule_head,horse_head,asses_head,milk_sheep_head,milk_cattle_head,milk_goat_head,milk_camel_head,milk_buffalo_head,chicken_slaughter,rabbit_slaughter,duck_slaughter,goose_slaughter,turkey_slaughter,other_rodents_slaughter,pig_slaughter,goat_slaughter,sheep_slaughter,camelids_slaughter,cattle_slaughter,camel_slaughter,buffalo_slaughter,mule_slaughter,horse_slaughter,asses_slaughter
AFG,Afghanistan,13735000,0,0,0,0,0,0,5181839,6490101,0,1675185,148293,0,24141,100478,1563683,7036877,3447771,2739703,21922,0,34923000,0,0,0,0,0,0,3578963,6918980,0,644498,20323,0,0,0,0
ALB,Albania,7090000,0,0,0,404000,0,183847,224637,607509,0,119298,0,64,0,31649,55000,1150824,296311,638228,0,30,10785000,0,0,0,211000,0,182046,748414,1219264,0,283437,0,0,0,0,0
DZA,Algeria,135561000,1677000,62000,44000,90000,0,4839,2093960,10113525,0,877942,319916,0,15997,49911,86431,19265036,908409,2835109,97251,0,260269000,8617000,0,0,5634000,0,2748,1849458,17883627,0,647299,46058,0,0,2768,0
AGO,Angola,44360000,0,0,0,0,0,3247256,4411671,1167779,0,4667299,0,0,0,1018,4492,0,440852,0,0,0,58018000,0,0,0,0,0,2068319,1362634,294392,0,634422,0,0,0,0,0
ATG,Antigua and Barbuda,159000,0,0,0,0,0,5156,23815,11011,0,426,0,0,0,494,1729,0,3444,0,0,0,13000,0,0,0,0,0,1205,198,274,0,418,0,0,0,0,0
ARG,Argentina,118457000,1132000,2600000,166000,2957000,0,5128954,4638635,14774196,0,53364189,0,0,46593,2543908,61541,0,1643664,0,0,0,757488000,727000,3774000,180000,6980000,0,7006091,1109452,3081051,0,13991415,0,0,560,83848,1080
ARM,Armenia,4152000,30000,0,0,166000,0,197877,6724,163059,0,320145,0,670,38,10748,1562,452646,251716,15828,0,0,11741000,0,0,0,0,0,225243,2346,660600,0,550856,0,0,0,0,0
AUS,Australia,111924000,0,1118000,0,1095000,0,2319033,3897679,65755408,0,23329676,0,0,0,253151,1909,0,1393782,0,0,0,658261000,0,7844000,0,5296000,0,5167300,1818893,28537100,0,8695800,0,0,0,91266,0
AUT,Austria,0,0,0,0,0,0,2773230,32770,374606,0,1354740,0,0,0,0,0,28054,524780,59730,0,0,97991000,0,0,0,0,0,5068160,53300,293000,0,644650,0,0,0,0,0
AZE,Azerbaijan,32230000,0,0,0,1266000,0,5704,509164,7256759,0,1205946,213,162475,53,62726,25780,318622,1278208,104678,0,0,97760000,0,0,0,0,0,9312,0,5962172,0,1279495,0,0,0,0,0
BHS,Bahamas,3147000,0,0,0,0,0,5027,7873,6581,0,61,0,0,0,0,0,0,706,7149,0,0,5300000,0,0,0,0,0,7195,6254,2127,0,110,0,0,0,0,0
BHR,Bahrain,1600000,0,0,0,0,0,0,22570,60673,0,2543,1081,0,0,0,0,1984,5124,3126,0,0,10175000,0,0,0,0,0,0,15200,1540734,0,7110,429,0,0,0,0
