iso3,country,chicken_head,rabbit_head,duck_head,goose_head,turkey_head,other_rodents_head,pig_head,meat_goat_head,meat_sheep_head,camelids_head,meat_cattle_head,meat_camel_head,meat_buffalo_head,mule_head,horse_head,asses_head,milk_sheep_head,milk_cattle_head,milk_goat_head,milk_camel_head,milk_buffalo_head,chicken_slaughter,rabbit_slaughter,duck_slaughter,goose_slaughter,turkey_slaughter,other_rodents_slaughter,pig_slaughter,goat_slaughter,sheep_slaughter,camelids_slaughter,cattle_slaughter,camel_slaughter,buffalo_slaughter,mule_slaughter,horse_slaughter,asses_slaughter
AFG,Afghanistan,0,0,0,0,0,0,0,3447771,6490101,0,1675185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3578963,6918980,0,644498,0,0,0,0,0
ALB,Albania,0,0,0,0,0,0,0,296311,607509,0,119298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748414,1219264,0,283437,0,0,0,0,0
DZA,Algeria,0,0,0,0,0,0,0,908409,10113525,0,877942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849458,17883627,0,647299,0,0,0,0,0
AGO,Angola,0,0,0,0,0,0,0,440852,1167779,0,4667299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362634,294392,0,634422,0,0,0,0,0
ATG,Antigua and Barbuda,0,0,0,0,0,0,0,3444,11011,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,274,0,418,0,0,0,0,0
ARG,Argentina,0,0,0,0,0,0,0,1643664,14774196,0,53364189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109452,3081051,0,13991415,0,0,0,0,0
ARM,Armenia,0,0,0,0,0,0,0,251716,163059,0,320145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346,660600,0,550856,0,0,0,0,0
AUS,Australia,0,0,0,0,0,0,0,1393782,65755408,0,23329676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818893,28537100,0,8695800,0,0,0,0,0
AUT,Austria,0,0,0,0,0,0,0,524780,374606,0,1354740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53300,293000,0,644650,0,0,0,0,0
AZE,Azerbaijan,0,0,0,0,0,0,0,1278208,7256759,0,1205946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5962172,0,1279495,0,0,0,0,0
BHS,Bahamas,0,0,0,0,0,0,0,706,6581,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6254,2127,0,110,0,0,0,0,0
BHR,Bahrain,0,0,0,0,0,0,0,5124,60673,0,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15200,1540734,0,7110,0,0,0,0,0
BGD,Bangladesh,0,0,0,0,0,0,0,4105199,1476443,0,20081801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31759650,726184,0,2705632,0,0,0,0,0
BRB,Barbados,0,0,0,0,0,0,0,3127,13414,0,8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138,2908,0,854,0,0,0,0,0
BLR,Belarus,0,0,0,0,0,0,0,1485200,87300,0,2809500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77551,0,1483806,0,0,0,0,0
BEL,Belgium,0,0,0,0,0,0,0,537940,117320,0,1835160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16300,122720,0,782650,0,0,0,0,0
BLZ,Belize,0,0,0,0,0,0,0,6122,15006,0,96317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1363,0,7733,0,0,0,0,0
BEN,Benin,0,0,0,0,0,0,0,623376,974000,0,1902624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617849,346905,0,206684,0,0,0,0,0
BTN,Bhutan,0,0,0,0,0,0,0,129339,11466,0,173250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19867,6037,0,37863,0,0,0,0,0
BOL,Bolivia (Plurinational State of),0,0,0,0,0,0,0,196740,6352186,0,9544734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304184,1508687,0,1393190,0,0,0,0,0
BIH,Bosnia and Herzegovina,0,0,0,0,0,0,0,207622,739547,0,222031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60127,0,56597,0,0,0,0,0
BWA,Botswana,0,0,0,0,0,0,0,192361,242911,0,742371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367092,103930,0,170000,0,0,0,0,0
BRA,Brazil,0,0,0,0,0,0,0,16167625,19971802,0,198841333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3324958,6389554,0,29887036,0,0,0,0,0
