ISO3 Country Code,Country,Animal feed caloric consumption in 2020 (million dry caloric tons),Animal feed fat consumption in 2020 (million tonnes),Animal feed protein consumption in 2020 (million tonnes)
AFG,Afghanistan,0.73,0.07,0.13
ALB,Albania,0.51,0.03,0.06
DZA,Algeria,5.52,0.24,0.78
AGO,Angola,1.14,0.05,0.11
ARG,Argentina,52,2.33,19.17
ARM,Armenia,0.31,0.01,0.05
AUS,Australia,12.01,0.73,2.18
AZE,Azerbaijan,1.76,0.1,0.31
BHR,Bahrain,0,0,0
BGD,Bangladesh,11.7,0.92,2.17
BRB,Barbados,0.05,0,0.01
BLR,Belarus,5.55,0.42,1.07
BEN,Benin,1.23,0.08,0.21
BTN,Bhutan,0,0,0
BOL,Bolivia (Plurinational State of),3.41,0.09,1.2
BIH,Bosnia and Herzegovina,1.01,0.04,0.16
BWA,Botswana,0.05,0,0.01
BRA,Brazil,88.59,3.34,23.84
BRN,Brunei Darussalam,0,0,0
BFA,Burkina Faso,0.63,0.03,0.15
MMR,Myanmar,9.56,0.45,1.49
BDI,Burundi,0,0,0
CPV,Cabo Verde,0.01,0,0
KHM,Cambodia,1.14,0.14,0.16
CMR,Cameroon,1.59,0.06,0.24
CAN,Canada,28.18,1,6.65
CAF,Central African Republic,0.03,0,0.01
TCD,Chad,0.69,0.14,0.13
CHL,Chile,4.23,0.33,0.84
CHN,China,387.45,18.97,79.33
COL,Colombia,7.02,0.43,1.28
COD,Congo,0.04,0,0
COG,Democratic Republic of the Congo,0.06,0,0.02
CRI,Costa Rica,1.06,0.06,0.22
CIV,Cote d'Ivoire,1.3,0.04,0.12
CUB,Cuba,1.7,0.07,0.34
DJI,Djibouti,0.1,0,0.01
DOM,Dominican Republic,1.77,0.09,0.22
ECU,Ecuador,0.93,0.06,0.19
EGY,Egypt,14.98,0.76,3.47
SLV,El Salvador,0.89,0.05,0.1
ERI,Eritrea,0,0,0
SWT,Eswatini,0.04,0,0.01
ETH,Ethiopia,2.32,0.12,0.35
F5707+GBR,European Union (27) + UK,199.18,9.53,37.81
FJI,Fiji,0.03,0,0
GAB,Gabon,0.08,0,0.01
GMB,Gambia,0.01,0,0
GEO,Georgia,0.21,0.01,0.04
GHA,Ghana,2.71,0.09,0.28
GTM,Guatemala,1.41,0.06,0.23
GIN,Guinea,1.23,0.07,0.16
GNB,Guinea-Bissau,0.02,0,0
GUY,Guyana,0.29,0.02,0.03
HTI,Haiti,0.16,0.01,0.02
HND,Honduras,0.65,0.03,0.11
IND,India,49.61,3.09,12.96
IDN,Indonesia,19.64,1.72,5.41
IRN,Iran (Islamic Republic of),17.53,0.62,2.91
IRQ,Iraq,1.61,0.08,0.22
ISR,Israel,2.84,0.12,0.48
JAM,Jamaica,0.3,0.01,0.04
JPN,Japan,17.49,0.7,3.75
JOR,Jordan,1.34,0.05,0.17
KAZ,Kazakhstan,4.35,0.24,0.89
KEN,Kenya,0.83,0.06,0.16
KOR,Democratic People's Republic of Korea,0.63,0.03,0.11
PRK,Republic of Korea,9.94,0.41,2.38
KWT,Kuwait,0.63,0.02,0.08
KGZ,Kyrgyzstan,1.28,0.06,0.19
LAO,Lao People's Democratic Republic,0.96,0.06,0.09
LBN,Lebanon,1.16,0.04,0.27
LSO,Lesotho,0.02,0,0
LBR,Liberia,0.03,0,0
LBY,Libya,0,0,0
MDG,Madagascar,0.62,0.01,0.05
MWI,Malawi,2.24,0.05,0.19
MYS,Malaysia,6.8,0.29,2.06
MLI,Mali,1.68,0.08,0.31
MRT,Mauritania,0.09,0.01,0.02
MUS,Mauritius,0.09,0,0.01
MEX,Mexico,31.46,1.57,6.46
MDA,Republic of Moldova,1.94,0.08,0.32
MNG,Mongolia,0.07,0.01,0.02
MAR,Morocco,4.76,0.18,0.86
MOZ,Mozambique,0.41,0.04,0.08
NAM,Namibia,0.09,0,0.01
NPL,Nepal,1.93,0.09,0.22
NZL,New Zealand,2.38,0.38,0.42
NIC,Nicaragua,0.23,0.02,0.03
NER,Niger,1.03,0.06,0.17
NGA,Nigeria,15.17,0.4,1.79
MKD,North Macedonia,0.31,0.02,0.04
NOR,Norway,1.56,0.06,0.48
OMN,Oman,0.34,0.02,0.06
PAK,Pakistan,9.93,0.69,3.17
PAN,Panama,0.69,0.05,0.1
PNG,Papua New Guinea,0.18,0,0.07
PRY,Paraguay,4.58,0.13,1.61
PER,Peru,6.42,0.3,1.28
PHL,Philippines,10.16,0.59,1.68
QAT,Qatar,0,0,0
RUS,Russian Federation,40.3,2.08,9.64
RWA,Rwanda,0.05,0,0.01
SAU,Saudi Arabia,10.51,0.32,1.52
SEN,Senegal,0.47,0.03,0.08
SRB,Serbia,5.06,0.22,0.86
SLE,Sierra Leone,0.07,0.01,0.02
SGP,Singapore,0.01,0,0.01
