country,iso3,GDP
Afghanistan,AFG,67594970000
Albania,ALB,34009113000
Algeria,DZA,590317550000
Angola,AGO,175929570000
Argentina,ARG,829373300000
Armenia,ARM,33296515000
Australia,AUS,1238559600000
Austria,AUT,382269460000
Azerbaijan,AZE,160426230000
Bahrain,BHR,62559306000
Bangladesh,BGD,686521800000
Barbados,BRB,3516161000
Belarus,BLR,178435260000
Belgium,BEL,454384320000
Benin,BEN,26682034000
Bolivia,BOL,75704710000
Bosnia and Herzegovina,BIH,41286324000
Botswana,BWA,35844340000
Brazil,BRA,2965401500000
Bulgaria,BGR,132183450000
Burkina Faso,BFA,31315026000
Burundi,BDI,7314109000
Cambodia,KHM,59541852000
Cameroon,CMR,76168240000
Canada,CAN,1669401500000
Cape Verde,CPV,3882678800
Central African Republic,CAF,3581982500
Chad,TCD,31212919000
Chile,CHL,412833600000
China,CHN,18151620000000
Colombia,COL,651900550000
Comoros,COM,1416032100
Congo,COG,29513590000
Costa Rica,CRI,73336990000
Cote d'Ivoire,CIV,102581666000
Croatia,HRV,84978690000
Cuba,CUB,92551010000
Cyprus,CYP,27790156000
Czechia,CZE,326100320000
Czechoslovakia,OWID_CZS,474041250000
Democratic Republic of Congo,COD,81846380000
Denmark,DNK,268317620000
Djibouti,DJI,2913438500
Dominica,DMA,667810400
Dominican Republic,DOM,165255140000
East Asia,,26432971000000
Eastern Europe,,8404875000000
Ecuador,ECU,175524680000
Egypt,EGY,1221832600000
El Salvador,SLV,54756344000
Equatorial Guinea,GNQ,22750614000
Estonia,EST,35409424000
Eswatini,SWZ,8771760000
Ethiopia,ETH,195740320000
Finland,FIN,214535730000
Former Sudan,,141177900000
France,FRA,2581673800000
Gabon,GAB,36693262000
Gambia,GMB,3939021800
Georgia,GEO,58984800000
Germany,DEU,3885961300000
Ghana,GHA,118873890000
Greece,GRC,250035850000
Guatemala,GTM,127549980000
Guinea,GIN,19045323000
Guinea-Bissau,GNB,2752462000
Haiti,HTI,18653680000
Honduras,HND,45382746000
Hong Kong,HKG,373682630000
Hungary,HUN,250426490000
Iceland,ISL,15315260000
India,IND,8835758000000
Indonesia,IDN,3075456000000
Iran,IRN,1398996000000
Iraq,IRQ,513592700000
Ireland,IRL,314321670000
Israel,ISR,278806230000
Italy,ITA,2077209100000
Jamaica,JAM,19431862000
Japan,JPN,4867010600000
Jordan,JOR,104894210000
Kazakhstan,KAZ,463720550000
Kenya,KEN,173505900000
Kuwait,KWT,277117140000
Kyrgyzstan,KGZ,29601149000
Laos,LAO,46666960000
Latin America,,8733149600000
Latvia,LVA,46862480000
Lebanon,LBN,96800195000
Lesotho,LSO,5360396000
Liberia,LBR,3936415700
Libya,LBY,100416020000
Lithuania,LTU,76617520000
Luxembourg,LUX,35015057000
Madagascar,MDG,36665934000
Malawi,MWI,22574655000
Malaysia,MYS,773658500000
Mali,MLI,27521622000
Malta,MLT,15606395000
Mauritania,MRT,13278341000
Mauritius,MUS,27474713000
Mexico,MEX,2006599700000
Middle East,,9842624000000
Moldova,MDA,23299414000
Mongolia,MNG,41531757000
Montenegro,MNE,11980410000
Morocco,MAR,299980100000
Mozambique,MOZ,29449972000
Myanmar,MMR,317599020000
Namibia,NAM,23095486000
Nepal,NPL,81052450000
Netherlands,NLD,818056000000
New Zealand,NZL,171013590000
Nicaragua,NIC,30136880000
Niger,NER,20483443000
Nigeria,NGA,1060805940000
North Korea,PRK,40517136000
North Macedonia,MKD,27703577000
Norway,NOR,449339000000
Oman,OMN,172358220000
Pakistan,PAK,1212090500000
Palestine,PSE,24034214000
Panama,PAN,86035740000
Paraguay,PRY,66292863000
Peru,PER,386316100000
Philippines,PHL,912443440000
Poland,POL,1053479340000
Portugal,PRT,276343600000
Puerto Rico,PRI,115563270000
Qatar,QAT,400649400000
Romania,ROU,386236480000
Russia,RUS,3613410500000
Rwanda,RWA,22988919000
Saint Lucia,LCA,1733778300
Sao Tome and Principe,STP,762655200
Saudi Arabia,SAU,1677338600000
Senegal,SEN,42805547000
Serbia,SRB,99972055000
Seychelles,SYC,2794613000
Sierra Leone,SLE,10628816000
Singapore,SGP,410139850000
Slovakia,SVK,146456460000
Slovenia,SVN,60439880000
South Africa,ZAF,673272200000
South Korea,KOR,1958392100000
South and South-East Asia,,18559032000000
Spain,ESP,1492300200000
Sri Lanka,LKA,253457140000
Sub-Sahara Africa,,3701549600000
Sweden,SWE,463407450000
Switzerland,CHE,531971150000
Syria,SYR,56710615000
Taiwan,TWN,1041749600000
Tajikistan,TJK,38206550000
Tanzania,TZA,162052500000
Thailand,THA,1124031900000
Togo,TGO,11866978000
Trinidad and Tobago,TTO,34697350000
Tunisia,TUN,130322100000
Turkey,TUR,1655984200000
Turkmenistan,TKM,142391020000
USSR,OWID_USS,5753770000000
Uganda,UGA,86584074000
Ukraine,UKR,431319900000
United Arab Emirates,ARE,734906200000
United Kingdom,GBR,2540210200000
United States,USA,18140646000000
Uruguay,URY,68560710000
Uzbekistan,UZB,336874770000
Venezuela,VEN,309413020000
Vietnam,VNM,661488400000
Western Europe,,16736345000000
Western Offshoots,,21219620000000
World,OWID_WRL,113630170000000
Yemen,YEM,69042725000
Yugoslavia,OWID_YGS,354738080000
Zambia,ZMB,60978622000
Zimbabwe,ZWE,22715353000
