animal,digestion type,animal size,LSU,source,notes,average bodyweight,source,carcass percent,source,carcass kg,offals edible percent,offals kg,fat percent,fat kg,kcals per kg,source,approximate feed conversion,gestation,animal_slaughter_hours,other_animal_death_rate_annual,animals_per_pregnancy,insemination_cycle_time_for_milk,productive_milk_age_start,productive_milk_age_end,milk_production_per_month_per_head
chicken,monogastric,small,0.007,EU,,2.072,"TCF USA, at slaughter",78%,TCF trees,1.61616,0.00%,0,0.00%,0,1460,FAO via mike,2,1,0.08,0.05,9,,,,
rabbit,hindgut fermenter,small,0.014,EU,,,,0%,,0,,0,,0,2460,Assumed,3.5,1,0.08,0.05,8,,,,
duck,monogastric,small,0.02,EU,,2.162,"TCF USA, at slaughter",0%,TCF USA,0,,0,,0,1460,Assumed,3,1,0.08,0.05,10,,,,
goose,monogastric,small,0.01,EU,,,,0%,,0,,0,,0,1460,Assumed,3,1,0.08,0.05,8,,,,
turkey,monogastric,small,0.03,EU,,10.296,"TCF USA, at slaughter",77%,TCF USA,7.92792,,0,,0,1460,Assumed,3,1,0.08,0.05,10,,,,
other_rodents,hindgut fermenter,small,0.02,copied from rabbits,,,,0%,,0,,0,,0,2460,Assumed,5,1,0.08,0.05,3,,,,
pig,monogastric,medium,0.3,EU,,117,"TCF USA, at slaughter",76%,TCF trees,88.92,4.00%,4.68,6.00%,7.02,2200,FAO via mike,3,4,4,0.05,9,,,,
meat_goat,ruminant,medium,0.1,EU,,,,0%,,0,,0,,0,2460,Assumed,5,5,4,0.05,2,,,,
meat_sheep,ruminant,medium,0.1,EU,,59,"TCF USA, at slaughter",50%,TCF trees,29.5,8.00%,4.72,3.00%,1.77,2460,FAO via mike,5,5,4,0.05,1.5,,,,
camelids,ruminant,medium,0.1,EU,,,,0%,,0,,0,,0,2460,Assumed,5,11,4,0.05,1,,,,
meat_cattle,ruminant,large,0.8,EU,"defined at different stages of growth, this is taken as a 'generalised/approximated' value",539,"TCF USA, at slaughter",52%,TCF trees,280.28,7.00%,37.73,3.00%,16.17,2076,FAO via mike,8,9,8,0.05,1,,,,
meat_camel,ruminant,large,0.8,FAO,Use the FAO LSU bib country data to determine that cattle and camels have the same LSU,,,0%,,0,,0,,0,2076,Assumed,8,14,8,0.05,1,,,,
meat_buffalo,ruminant,large,0.85,Interpolated from FAO,,,,0%,,0,,0,,0,2076,Assumed,8,10,8,0.05,1,,,,
mule,hindgut fermenter,medium,0.8,EU,,,,0%,,0,,0,,0,2076,Assumed,6.5,11,8,0.05,1,,,,
horse,hindgut fermenter,large,0.8,EU,,500,"TCF USA, at slaughter",50%,TCF USA,250,,0,,0,2076,Assumed,8,12,8,0.05,1,,,,
asses,hindgut fermenter,medium,0.8,EU,,,,0%,,0,,0,,0,2076,Assumed,8,12,8,0.05,1,,,,
milk_sheep,ruminant,medium,0.125,Estimated by 25% increase on meat animal,,,,0%,,0,,0,,0,2460,Assumed,0.4,5,4,0.05,1,12,0.5,9,
milk_cattle,ruminant,large,1,EU,,,,0%,,0,,0,,0,2076,FAO via mike,0.1,9,8,0.05,1,12,2,8,
milk_goat,ruminant,medium,0.375,Estimated by 25% increase on meat animal,,,,0%,,0,,0,,0,2460,Assumed,0.3,5,4,0.05,1,12,1,10,
milk_camel,ruminant,large,1,Estimated by 25% increase on meat animal,,,,0%,,0,,0,,0,2076,Assumed,0.5,14,8,0.05,1,36,5,15,
milk_buffalo,ruminant,large,1.0625,Estimated by 25% increase on meat animal,,,,0%,,0,,0,,0,2076,Assumed,0.2,10,8,0.05,1,12,2,8,
