scenario,animal,reduction_in_animal_breeding,change_in_slaughter_rate,pregnant_animal_slaughter_fraction,target_population_fraction,starvation_death_fraction
baseline,chicken,0,1,0,1,0.9
baseline,rabbit,0,1,0,1,0.9
baseline,duck,0,1,0,1,0.9
baseline,goose,0,1,0,1,0.9
baseline,turkey,0,1,0,1,0.9
baseline,other_rodents,0,1,0,1,0.9
baseline,pig,0,1,0,1,0.9
baseline,meat_goat,0,1,0,1,0.9
baseline,meat_sheep,0,1,0,1,0.9
baseline,camelids,0,1,0,1,0.9
baseline,meat_cattle,0,1,0,1,0.9
baseline,meat_camel,0,1,0,1,0.9
baseline,meat_buffalo,0,1,0,1,0.9
baseline,mule,0,1,0,1,0.9
baseline,horse,0,1,0,1,0.9
baseline,asses,0,1,0,1,0.9
baseline,milk_sheep,0,1,0,1,0.9
baseline,milk_cattle,0,1,0,1,0.9
baseline,milk_goat,0,1,0,1,0.9
baseline,milk_camel,0,1,0,1,0.9
baseline,milk_buffalo,0,1,0,1,0.9
reduced,chicken,1,1.1,0.1,0,0.9
reduced,rabbit,1,1.1,0.1,0,0.9
reduced,duck,1,1.1,0.1,0,0.9
reduced,goose,1,1.1,0.1,0,0.9
reduced,turkey,1,1.1,0.1,0,0.9
reduced,other_rodents,1,1.1,0.1,0,0.9
reduced,pig,1,1.1,0.1,0,0.9
reduced,meat_goat,1,1.1,0.1,0,0.9
reduced,meat_sheep,1,1.1,0.1,0,0.9
reduced,camelids,1,1.1,0.1,0,0.9
reduced,meat_cattle,1,1.1,0.1,0,0.9
reduced,meat_camel,1,1.1,0.1,0,0.9
reduced,meat_buffalo,1,1.1,0.1,0,0.9
reduced,mule,1,1.1,0.1,0,0.9
reduced,horse,1,1.1,0.1,0,0.9
reduced,asses,1,1.1,0.1,0,0.9
reduced,milk_sheep,1,1.1,0.1,0,0.9
reduced,milk_cattle,1,1.1,0.1,0,0.9
reduced,milk_goat,1,1.1,0.1,0,0.9
reduced,milk_camel,1,1.1,0.1,0,0.9
reduced,milk_buffalo,1,1.1,0.1,0,0.9
feed_only_ruminants,chicken,1,1.1,0.1,0,0.9
feed_only_ruminants,rabbit,1,1.1,0.1,0,0.9
feed_only_ruminants,duck,1,1.1,0.1,0,0.9
feed_only_ruminants,goose,1,1.1,0.1,0,0.9
feed_only_ruminants,turkey,1,1.1,0.1,0,0.9
feed_only_ruminants,other_rodents,1,1.1,0.1,0,0.9
feed_only_ruminants,pig,1,1.1,0.1,0,0.9
feed_only_ruminants,meat_goat,1,1.1,0.1,0,0.9
feed_only_ruminants,meat_sheep,1,1.1,0.1,0,0.9
feed_only_ruminants,camelids,1,1.1,0.1,0,0.9
feed_only_ruminants,meat_cattle,1,1.1,0.1,0,0.9
feed_only_ruminants,meat_camel,1,1.1,0.1,0,0.9
feed_only_ruminants,meat_buffalo,1,1.1,0.1,0,0.9
feed_only_ruminants,mule,1,1.1,0.1,0,0.9
feed_only_ruminants,horse,1,1.1,0.1,0,0.9
feed_only_ruminants,asses,1,1.1,0.1,0,0.9
feed_only_ruminants,milk_sheep,0,1,0,1,0.9
feed_only_ruminants,milk_cattle,0,1,0,1,0.9
feed_only_ruminants,milk_goat,0,1,0,1,0.9
feed_only_ruminants,milk_camel,0,1,0,1,0.9
feed_only_ruminants,milk_buffalo,0,1,0,1,0.9
