animal,reduction_in_animal_breeding,change_in_slaughter_rate,pregnant_animal_slaughter_fraction,target_population_fraction,starvation_death_fraction
chicken,0,1,0,1,0.9
rabbit,0,1,0,1,0.9
duck,0,1,0,1,0.9
goose,0,1,0,1,0.9
turkey,0,1,0,1,0.9
other_rodents,0,1,0,1,0.9
pig,0,1,0,1,0.9
meat_goat,0,1,0,1,0.9
meat_sheep,0,1,0,1,0.9
camelids,0,1,0,1,0.9
meat_cattle,0,1,0,1,0.9
meat_camel,0,1,0,1,0.9
meat_buffalo,0,1,0,1,0.9
mule,0,1,0,1,0.9
horse,0,1,0,1,0.9
asses,0,1,0,1,0.9
milk_sheep,0,1,0,1,0.9
milk_cattle,0,1,0,1,0.9
milk_goat,0,1,0,1,0.9
milk_camel,0,1,0,1,0.9
milk_buffalo,0,1,0,1,0.9
