iso3,country,population,aq_kcals,aq_fat,aq_protein,grasses_baseline,dairy,chicken,pork,beef,small_animals,medium_animals,large_animals,dairy_cows,biofuel_kcals,biofuel_fat,biofuel_protein,feed_kcals,feed_fat,feed_protein,crop_kcals,crop_fat,crop_protein,crop_reduction_year1,crop_reduction_year2,crop_reduction_year3,crop_reduction_year4,crop_reduction_year5,grasses_reduction_year1,grasses_reduction_year2,grasses_reduction_year3,grasses_reduction_year4,grasses_reduction_year5,seasonality_m1,seasonality_m2,seasonality_m3,seasonality_m4,seasonality_m5,seasonality_m6,seasonality_m7,seasonality_m8,seasonality_m9,seasonality_m10,seasonality_m11,seasonality_m12,stocks_kcals_jan,stocks_kcals_feb,stocks_kcals_mar,stocks_kcals_apr,stocks_kcals_may,stocks_kcals_jun,stocks_kcals_jul,stocks_kcals_aug,stocks_kcals_sep,stocks_kcals_oct,stocks_kcals_nov,stocks_kcals_dec,distribution_loss_crops,distribution_loss_sugar,distribution_loss_meat,distribution_loss_dairy,distribution_loss_seafood,retail_waste_baseline,retail_waste_price_double,retail_waste_price_triple,wood_pulp_tonnes,percent_of_global_production,capex_dollar,percent_of_global_capex,crop_area_1000ha,latitude,above_lat_23_boolean,fraction_crop_area_below_lat_23,percent_of_seaweed
AFG,Afghanistan,38928341.0,1550.0,230.0,980.0,8138892.694999999,2112000.0,27938.0,0.0,116008.0,13724000.0,21581280.0,6987358.0,3447771.0,350000.0,160000.0,0.0,730000.0,70000.0,130000.0,5803280.219284189,198175.48692712712,782990.7449057018,-0.97,-1.0,-1.0,-0.97,-0.81,-0.31,-1.0,-0.99,-0.88,-0.81,0.0,0.0,0.0,0.0,0.0012138957069364,0.0012138957069364,0.25,0.25,0.2487861042930635,0.2487861042930635,0.0,0.0,569531.4166666667,535206.6666666667,500881.9166666667,466557.1666666666,432732.4166666667,398907.6666666667,467557.1666666666,536206.6666666666,604356.1666666667,672505.6666666667,638180.9166666667,603856.1666666667,0.0909419921057691,0.0011014039445705,0.0,0.0314660973685431,0.0017464103009754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8010.0,33.0,0.0,0.0,0.0
ALB,Albania,2837743.0,2110.0,340.0,1240.0,1516508.171,1112000.0,12234.0,9002.0,32870.0,7195000.0,2490594.0,490315.0,296311.0,160000.0,20000.0,20000.0,510000.0,30000.0,60000.0,873341.8685136682,56707.84287795337,100249.14200043364,-0.91,-0.97,-0.97,-0.88,-0.76,0.02,-0.6,-0.98,-0.78,-0.99,0.1533311129642873,0.1533311129642873,0.1533311129642873,0.1533311129642873,0.0014630338675128,0.0014630338675128,0.0966688870357126,0.0966688870357126,0.0952058531681998,0.0952058531681998,0.0,0.0,145901.70833333343,186569.33333333343,227236.95833333343,267904.58333333343,220339.20833333343,172773.83333333328,180521.58333333328,188269.3333333333,195167.0833333333,202064.83333333337,153649.45833333337,194317.08333333343,0.0577677404017591,0.0,0.0,0.0684081632653061,0.0017464103009754,0.2073072229590853,0.1006884411289872,0.0605606714500863,0.0,0.0,0.0817012218725344,0.0001776498602,696.0,41.0,0.0,0.0,0.0
DZA,Algeria,43851043.0,18960.0,3150.0,11280.0,1902980.601,3343000.0,260269.0,105.0,144434.0,139195000.0,35818388.0,2324579.0,908409.0,1590000.0,190000.0,130000.0,5520000.0,240000.0,780000.0,6527737.906023977,357970.87259952404,783288.4912491359,-0.83,-0.49,-0.49,-0.24,0.02,-0.04,-0.76,-0.92,-0.85,-0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,7063686.041666663,6790626.83333333,6517567.624999995,6244508.416666662,5971449.20833333,5698390.0,6244508.416666665,6790626.833333332,7336745.249999999,7882863.666666665,7609804.458333331,7336745.249999997,0.0949473634294385,0.0,0.0,0.0733315491107272,0.0017464103009754,0.1919246946260947,0.0907639112290966,0.0540559689409024,0.0,0.0,1.6998166045291745,0.003696054664,8517.0,28.0,1.0,0.01160474065,0.0
AGO,Angola,32866268.0,99180.0,17510.0,56600.00000000001,8449733.037,218000.0,52216.0,149772.0,104876.0,47306000.0,9624215.0,5125488.0,440852.0,220000.0,20000.0,0.0,1140000.0,50000.0,110000.0,6501002.997204037,265094.3832679019,509821.50467268407,-0.08,-0.78,-0.95,-0.97,-0.92,-0.05,-0.44,-0.62,-0.72,-0.75,0.0,0.0,0.0,0.0,0.249658753922835,0.249658753922835,0.25,0.25,0.0003412460771649,0.0003412460771649,0.0,0.0,1341771.4583333326,1171042.9999999993,1000314.541666666,829586.0833333333,1170343.875,1511101.6666666665,1852558.5833333328,2194015.4999999995,2023986.166666666,1853956.8333333328,1683228.3749999995,1512499.916666666,0.1111292328392897,0.0013609145345672,0.0,0.064527503526093,0.0017464103009754,0.1297431098727982,0.0554574387579422,0.0319150247897948,0.0,0.0,0.7705532755753859,0.001675479002,5215.0,-12.5,1.0,0.00710563843,0.0
ARG,Argentina,45376763.0,131160.0,18720.0,81030.0,7517935.027000001,10340000.0,2219238.0,655382.0,3168472.0,125426000.0,24644554.0,57157053.0,1643664.0,10070000.0,3140000.0,290000.0,52000000.0,2330000.0,19170000.0,124125613.0398034,13331843.744063,28453376.243561324,-0.05,-0.69,-0.78,-0.83,-0.8,-0.04,-0.47,-0.75,-0.76,-0.83,0.1698745073051041,0.0374742935781237,0.1114670277457888,0.0757403283563266,0.0801254926948958,0.0801254926948958,0.0061327585272308,0.0043851643385692,0.0,0.1324002137269803,0.1324002137269803,0.1698745073051041,81688643.00000001,76506818.0,79685774.25000003,78827805.5,78465336.75,78102868.00000001,69379618.00000001,60458899.25000001,51042680.5,56586974.25,66365661.75,76144349.25000001,0.0266172702453255,0.0018365017124137,0.0509708737864077,0.0095171417944734,0.0017464103009754,0.2433321260245041,0.1261724526167459,0.0778689874201513,544000.0,0.0036675773674771,2.169215255336841,0.004716707755,33701.0,-34.0,0.0,0.0,0.0
ARM,Armenia,2963234.0,2890.0,400.0,1860.0,5651223.719,668000.0,12300.0,16200.0,68300.0,4637000.0,885782.0,592822.0,251716.0,60000.0,10000.0,10000.0,310000.0,10000.0,50000.0,398832.068567172,11046.36666727462,47090.5735291159,-1.0,-1.0,-1.0,-1.0,-0.99,-0.31,-0.99,-0.97,-0.99,-0.98,0.0925575960414893,0.0925575960414893,0.0925575960414893,0.0925575960414893,0.0015737519163708,0.0015737519163708,0.1574424039585106,0.1574424039585106,0.1558686520421398,0.1558686520421398,0.0,0.0,165008.54166666674,168525.33333333343,172042.1250000001,175558.91666666677,144387.70833333346,113216.5,141470.91666666666,169725.33333333337,197379.7500000001,225034.16666666672,193262.95833333343,196779.7500000001,0.0764295042870932,0.0,0.0133614627285513,0.0,0.0017464103009754,0.2073083657559246,0.1006891983714555,0.060561172675861,0.0,0.0,0.0597918423572852,0.0001300104477,505.0,40.0,0.0,0.0,0.0
AUS,Australia,25687041.0,44780.0,6460.0,27880.0,192203131.4,8795000.0,1246544.0,402704.0,2371600.0,103129000.0,69668057.0,23751235.0,1393782.0,1000000.0,180000.0,20000.0,12010000.0,730000.0,2180000.0,29873347.225071527,1856768.6012011631,4175497.137699361,-0.02,-0.69,-0.7,-0.78,-0.81,0.0,-0.49,-0.71,-0.78,-0.74,0.2090933171594472,0.0651380611811259,0.0051822676072798,0.005474045450238,0.005474045450238,0.005474045450238,0.0357244152332728,0.0354326373903146,0.0354326373903146,0.179387893368636,0.2090933171594472,0.2090933171594472,24923144.04166667,24318220.66666667,21719995.916666668,19131471.666666668,16542947.416666672,13954423.166666672,12371608.291666672,10779092.916666672,9186577.54166667,12380025.166666664,16561064.791666666,20742104.416666668,0.0276299194082814,0.0006337537233031,0.0,0.0,0.0017464103009754,0.2879185104901027,0.1629176511181639,0.1044783705490171,1047000.0,0.0070587380583613,4.3519872606675225,0.009462893096,30920.0,-27.0,1.0,0.04212969132,0.0
AZE,Azerbaijan,10110116.0,280.00000000000006,40.0,179.99999999999997,4851905.383,2151000.0,115388.0,483.0,143082.0,31193000.0,8095527.0,2734790.0,1278208.0,500000.0,190000.0,20000.0,1760000.0,100000.0,310000.0,3236292.983344113,114234.908087982,422127.0888069487,-1.0,-1.0,-1.0,-0.94,-0.97,-0.1,-1.0,-0.89,-0.94,-0.9,0.0004817789540857,0.0004817789540857,0.0004817789540857,0.0004817789540857,0.0033174137683528,0.0033174137683528,0.2495182210459142,0.2495182210459142,0.2462008072775613,0.2462008072775613,0.0,0.0,1473035.0000000002,1266993.3750000002,1060951.75,854910.1250000003,655920.3750000002,456930.62500000006,870212.0000000001,1283493.375,1688524.7500000002,2093556.125,1886316.375,1680274.7500000005,0.0356737180014816,0.0,0.0,0.0,0.0017464103009754,0.2120194060112117,0.1038369007908318,0.0626512336010906,0.0,0.0,0.3471746811728543,0.0007548912019,2356.0,40.5,0.0,0.0,0.0
BHR,Bahrain,1701583.0,0.0,0.0,0.0,96291.25576,12000.0,9125.0,0.0,853.0,9907000.0,85602.0,8905.0,5124.0,0.0,0.0,0.0,0.0,0.0,0.0,6719.936526999558,199.9563182759455,410.8801420945524,5.84,-1.0,-1.0,0.31,0.31,-0.08,-0.8,-0.98,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,0.0451000913432071,0.0011014039445705,0.0037776501041637,0.0297483136625652,0.0017464103009754,0.2830586399801853,0.1585899506672052,0.1012368094995496,0.0,0.0,0.2026818140663943,0.0004407081694,5.0,26.0,1.0,6.812692646e-06,0.0
BGD,Bangladesh,165000000.0,704870.0,100140.0,450440.0,0.0,3650000.0,210615.0,0.0,193671.0,356318000.0,62301162.0,25884000.0,4105199.0,14230000.0,1970000.0,1080000.0,11700000.0,920000.0,2170000.0,59347706.72166867,836398.3697724738,4791457.817284027,-0.27,-0.75,-0.72,-0.66,-0.59,-0.54,-0.69,-0.8,-0.89,-0.96,0.0,0.0,0.0,0.0,0.2414337375867871,0.2414337375867871,0.25,0.25,0.0085662624132128,0.0085662624132128,0.0,0.0,12755049.041666668,9895700.833333332,7036352.624999999,4177004.4166666656,9601773.708333334,15026543.0,20745239.416666668,26463935.833333336,23898514.75,21333093.666666664,18473745.45833333,15614397.249999998,0.0402219405631224,0.006028341031864,0.0,0.0431071737251512,0.0017464103009754,0.0766970706663475,0.0302980824292593,0.017027058712038,11000.0,7.41605717688394e-05,1.4698963184487617,0.003196119587,8797.0,24.0,1.0,0.01198625144,0.0
