,ISO3 Country Code,Country,Cropland Area in 2019 (m2)
0,AFG,Afghanistan,80100000000.0
1,ALB,Albania,6960000000.0
2,DZA,Algeria,85170170000.0
3,ASM,American Samoa,39400000.0
4,AND,Andorra,8000000.0
5,AGO,Angola,52150000000.0
6,ATG,Antigua and Barbuda,50000000.0
7,ARG,Argentina,337007597000.0
8,ARM,Armenia,5050000000.0
9,ABW,Aruba,20000000.0
10,AUS,Australia,309200000000.0
11,AUT,Austria,13924000000.0
12,AZE,Azerbaijan,23564000000.0
13,BHS,Bahamas,120000000.0
14,BHR,Bahrain,46000000.0
15,BGD,Bangladesh,87970000000.0
16,BRB,Barbados,80000000.0
17,BLR,Belarus,58200000000.0
18,BEL,Belgium,8809587000.0
19,BLZ,Belize,1220000000.0
20,BEN,Benin,34000000000.0
21,BMU,Bermuda,3000000.0
22,BTN,Bhutan,1000000000.0
23,BOL,Bolivia (Plurinational State of),47870000000.0
24,BIH,Bosnia and Herzegovina,11210000000.0
25,BWA,Botswana,2620000000.0
26,BRA,Brazil,635180000000.0
27,VGB,British Virgin Islands,20000000.0
28,BRN,Brunei Darussalam,100000000.0
29,BGR,Bulgaria,36290000000.0
30,BFA,Burkina Faso,61000000000.0
31,BDI,Burundi,15500000000.0
32,CPV,Cabo Verde,540000000.0
33,KHM,Cambodia,40660000000.0
34,CMR,Cameroon,77500000000.0
35,CAN,Canada,388150000000.0
36,CYM,Cayman Islands,7000000.0
37,CAF,Central African Republic,18800000000.0
38,TCD,Chad,52380000000.0
39,CHA,Channel Islands,36300000.0
40,CHL,Chile,16560000000.0
41,CHN,China,1356752000000.0
42,HKG,"China, Hong Kong SAR",40000000.0
43,F41,"China, mainland",1348810000000.0
44,TWN,"China, Taiwan Province of",7902000000.0
45,COL,Colombia,98720000000.0
46,COM,Comoros,1160000000.0
47,COG,Congo,6280000000.0
48,COK,Cook Islands,15000000.0
49,CRI,Costa Rica,5755000000.0
50,CIV,Cote d'Ivoire,80000000000.0
51,HRV,Croatia,8970000000.0
52,CUB,Cuba,36626000000.0
53,CYP,Cyprus,1236340000.0
54,CZE,Czechia,25318210000.0
55,PRK,Democratic People's Republic of Korea,25800000000.0
56,COD,Democratic Republic of the Congo,133000000000.0
57,DNK,Denmark,24193000000.0
58,DJI,Djibouti,20000000.0
59,DMA,Dominica,230000000.0
60,DOM,Dominican Republic,12320000000.0
61,ECU,Ecuador,24290000000.0
62,EGY,Egypt,38359688000.0
63,SLV,El Salvador,8810000000.0
64,GNQ,Equatorial Guinea,1800000000.0
65,ERI,Eritrea,6920000000.0
66,EST,Estonia,6968000000.0
67,SWZ,Eswatini,1900000000.0
68,ETH,Ethiopia,179030000000.0
69,FRO,Faroe Islands,30000000.0
70,FJI,Fiji,2500000000.0
71,FIN,Finland,22500000000.0
72,FRA,France,190754360000.0
73,GUF,French Guyana,188200000.0
74,PYF,French Polynesia,255000000.0
75,GAB,Gabon,4950000000.0
76,GMB,Gambia,4450000000.0
77,GEO,Georgia,4278000000.0
78,DEU,Germany,119130000000.0
79,GHA,Ghana,52210000000.0
80,GRC,Greece,32216000000.0
81,GRD,Grenada,70000000.0
82,GLP,Guadeloupe,251500000.0
83,GUM,Guam,80000000.0
84,GTM,Guatemala,20450000000.0
85,GIN,Guinea,38000000000.0
86,GNB,Guinea-Bissau,5500000000.0
87,GUY,Guyana,4600000000.0
88,HTI,Haiti,13500000000.0
89,HND,Honduras,15960000000.0
90,HUN,Hungary,44880000000.0
91,ISL,Iceland,1210000000.0
92,IND,India,1693170000000.0
93,IDN,Indonesia,513000000000.0
94,IRN,Iran (Islamic Republic of),175360000000.0
95,IRQ,Iraq,52500000000.0
96,IRL,Ireland,4440000000.0
97,IMN,Isle of Man,241000000.0
98,ISR,Israel,4784000000.0
