ISO3 Country Code,Country,reduction_year1,reduction_year2,reduction_year3,reduction_year4,reduction_year5
AFG,Afghanistan,-85.14073335342592,-99.99999999999999,-99.99999999999999,-96.58956759287851,-83.27771963214931
ALB,Albania,-91.92907050778662,-99.24547955594655,-96.55938677511634,-88.3200235260529,-73.99586409809613
DZA,Algeria,-96.65770637134705,-82.52070764474739,-49.368768138919435,-24.30156592402228,16.675770612009195
AGO,Angola,-38.297503016801535,-51.25760653200611,-95.0625014564252,-96.900790845604,-91.74245875628209
ARG,Argentina,-24.773742814414256,-61.66854852496457,-78.44101926090246,-83.23033485543746,-81.44431892844376
ARM,Armenia,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.32055453793782
AUS,Australia,-33.01356957460169,-61.65204035024471,-69.64625110453015,-76.76269267032363,-80.91081840570502
AZE,Azerbaijan,-99.93219635936707,-99.99999999999999,-99.99999999999999,-99.99999999999999,-90.81634877421891
BHR,Bahrain,584.318941044879,-100.0,-100.0,30.842722412420798,-38.3327959731968
BGD,Bangladesh,-32.26519556093505,-77.54713756119328,-72.31729342353253,-65.68980535852403,-57.232352837866166
BRB,Barbados,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.37e+36
BLR,Belarus,-100.0,-100.0,-100.0,-100.0,-99.99999999999996
BEN,Benin,-13.388788094172918,-71.31242463312132,-81.50480401421531,-80.50921879439106,-71.64661712182495
BTN,Bhutan,-66.32688670535286,-98.11297502036824,-97.21025447022271,-96.79914419886937,-94.43108055842616
BOL,Bolivia (Plurinational State of),-20.454307429855046,-61.56339285591804,-86.53184683372183,-89.71999002774379,-86.52074891635021
BIH,Bosnia and Herzegovina,-100.0,-100.0,-99.49163842445714,-95.62026950301524,-84.14110115599337
BWA,Botswana,-44.777530911649386,-65.54257911554149,-95.21150417592602,-93.03638256028897,-82.04491879819024
BRA,Brazil,-28.190190024315477,-45.916957135507175,-72.16582167211145,-78.7459875070885,-76.21622417081562
BRN,Brunei Darussalam,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.37e+36
BFA,Burkina Faso,-36.269602189156345,-58.31461173240763,-85.21574228977022,-80.19548308556253,-66.08459467320729
MMR,Myanmar,-49.876879162661595,-95.2539307555694,-96.149538560976,-94.87065667327148,-90.24480932961242
BDI,Burundi,-7.570661580486164,-88.29561309152442,-92.30019503954406,-89.43266080420646,-93.66993128858333
CPV,Cabo Verde,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.37e+36
KHM,Cambodia,0.5566815609260143,-94.6474612636993,-97.0762233638334,-84.63540022618857,-78.13934524254846
CMR,Cameroon,-22.073925043401164,-87.28211886014986,-93.35183581872852,-89.81884137046865,-89.81668109102164
CAN,Canada,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.9872098947503
CAF,Central African Republic,-28.303010519676892,-90.21618998147868,-93.44884290659887,-98.5329974843372,-96.73696710235886
TCD,Chad,-16.956229403629795,-75.39672524919776,-84.86650848160511,-77.7652991637615,-76.53082332474563
CHL,Chile,-22.48024499573938,-57.17929764810427,-32.05584116368207,-30.513053738130356,-14.32568121940334
CHN,China,-93.11041219982465,-99.86318274659665,-99.60609110074294,-98.82210449357486,-95.47525396831595
COL,Colombia,-36.94660052029608,-87.28511961964082,-85.41603110896774,-78.29106396255744,-78.68116444701054
COD,Congo,-8.910627981068599,-78.58377019806504,-96.55156377323468,-93.18741032681619,-92.93555122113095
COG,Democratic Republic of the Congo,-5.241709942150071,-79.88318452156054,-92.31436394272544,-93.6068374022266,-89.78542895334492
CRI,Costa Rica,109.01932285459263,95.24084213640859,111.70028655714265,21.60631321861568,92.0180520718319
CIV,Cote d'Ivoire,-19.37692663917095,-85.37158893386068,-87.29091021723474,-88.33710345808109,-81.56171463214869
CUB,Cuba,-31.411284990345923,-69.27150594358594,-84.93417575163659,-79.1762294861134,-70.69499631393607
DJI,Djibouti,-2.526498958303673,-96.49285984715485,-92.90893078971268,-91.73702953533883,-91.91038053936589
DOM,Dominican Republic,-10.22740358042666,-47.63642168098085,-55.64148181199267,-52.825627198364295,-40.84137493038873
ECU,Ecuador,-4.013953439827235,-80.7202559715143,-95.7779056387991,-93.56104990597404,-80.72619292506339
EGY,Egypt,-69.55695190291617,-89.00602837953679,-82.10588567567986,-75.29084451851588,-62.28524687563628
SLV,El Salvador,-15.328010451681294,-68.27842525792363,-92.58815712740478,-81.41857565159181,-78.774389047477
ERI,Eritrea,-47.22189203188014,-58.978153623315386,-76.48976740100336,-76.46039369350589,-33.95604227238679
SWT,Eswatini,-26.32713936632505,-59.78714344699629,-69.6872838164515,-82.47462621169952,-74.8932292788217
ETH,Ethiopia,-27.81341197165481,-88.62977727570893,-90.05934354036069,-89.65812383651026,-83.36139262288553
FJI,Fiji,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.37e+36
GAB,Gabon,-5.178287318810036,-75.6419183034808,-90.33026572851931,-91.57861353233724,-87.3987348713916
GMB,Gambia,-33.344661767472225,973.0207415809723,449.0548141531293,76.87804247213056,-6.3965233571703575
GEO,Georgia,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-92.64185066594116
GHA,Ghana,-10.795808444129126,-74.20588991234926,-77.9814172489313,-79.49035969988309,-70.96161262676046
GTM,Guatemala,-24.46855780312835,-61.118413315967786,-82.68657848058533,-81.72378608974786,-69.65153334413976
GIN,Guinea,-13.235934275586017,-82.097867951353,-87.32605743655127,-85.82531599566605,-80.01468030020189
GNB,Guinea-Bissau,-6.299851778203339,-37.234569871329185,-42.74186850938306,-58.802604727591905,-43.77073183306426
