ISO3 Country Code,Country,crop_reduction_year1,crop_reduction_year2,crop_reduction_year3,crop_reduction_year4,crop_reduction_year5,grasses_reduction_year1,grasses_reduction_year2,grasses_reduction_year3,grasses_reduction_year4,grasses_reduction_year5
AFG,Afghanistan,-97.15269882451962,-99.99999999999999,-99.99999999999999,-96.58956759287851,-81.2608675552417,-31.0012690262141,-99.9974427983474,-99.3710166301606,-87.5390424400759,-80.8142758299311
ALB,Albania,-91.1745500650946,-96.55938677511637,-96.55938677511637,-88.3200235260529,-76.43649002732369,1.67311889508132,-59.8267839446646,-97.5542982879781,-78.0513452714424,-98.5538214607082
DZA,Algeria,-82.52070764474739,-49.368768138919435,-49.368768138919435,-24.30156592402228,2.0107229758746348,-4.17858640056285,-75.8012462865281,-91.6796659243818,-84.9642760567532,-97.0951239777765
AGO,Angola,-8.285697834105601,-78.46259566490181,-95.06250145622565,-96.90079084708387,-92.48377310723683,-4.91829464383807,-43.5067249987863,-62.2540105444891,-72.4900133979946,-75.4306123102328
ARG,Argentina,-4.626332633204259,-69.34518492705173,-78.4410192597355,-82.60150435771804,-80.0239515909202,-4.03934248146747,-47.0521936853506,-75.444558655479,-76.378285290795,-83.310342583807
ARM,Armenia,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.8592170526728,-99.46133748492844,-30.9453247010684,-98.5981168536306,-97.1432468686076,-98.957351384831,-97.6764133669223
AUS,Australia,-2.3835988908893873,-68.8317601745552,-69.64625110354379,-77.59800482446491,-80.77330369531703,0.307461337641731,-48.7070692116797,-71.1125297853153,-78.0919033979594,-73.7750627363045
AZE,Azerbaijan,-99.98689273559347,-99.99999999999999,-99.99999999999999,-93.5145988931279,-97.2829788219288,-10.0414140374649,-99.9516579287267,-89.3341979236909,-93.7939051123095,-89.9411101023767
BHR,Bahrain,584.318941,-100.0,-100.0,30.842722412420798,30.842722410000004,-8.10144135066511,-80.1944754226608,-97.6740134757378,-99.8453511725858,-99.9606018759134
BGD,Bangladesh,-27.397218077366492,-75.4413270766767,-72.3172934248955,-65.689805358211,-59.06558340068098,-54.2476383231592,-69.4063617242271,-80.1095898279689,-88.8005829430191,-95.6343595756931
BRB,Barbados,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.97e+36,9.97e+36,9.97e+36,9.97e+36,9.97e+36
BLR,Belarus,-100.0,-100.0,-100.0,-100.0,-100.0,-11.5706099224295,-99.9978032564487,-99.9978467551316,-99.9978893920264,-96.2824299167079
BEN,Benin,-13.388788095260129,-71.31242463156632,-81.50480401522717,-80.50921879233272,-69.8516547186457,14.2175440386875,-63.7693418890052,-69.6944799381456,-69.7323982511129,-66.5421882582107
BTN,Bhutan,-68.46004537752825,-97.3472257532713,-97.21025446892965,-96.79914419752001,-96.04419401642959,-15.8585680627217,-99.5473211319455,-97.0882931503701,-91.5886319571818,-96.6542039042416
BOL,Bolivia (Plurinational State of),-21.247404884429706,-69.84989385436606,-86.53184683306404,-89.31641224392915,-83.9976775145993,-16.3971075598501,-45.2841120746292,-63.9321402585486,-75.7994702888717,-84.3625225436959
BIH,Bosnia and Herzegovina,-100.0,-99.49163842445714,-99.49163842445714,-95.5665886273589,-84.19478203064293,-27.7475787239577,-84.4479615941312,-99.6226252377035,-99.8098504085573,-99.7627163400982
BWA,Botswana,-20.929910879004904,-85.0965336155836,-95.21150417682529,-91.43145696075912,-85.46944681186491,-14.8493146422931,-64.8199487536469,-76.9045466110369,-75.345722271859,-83.2649124155986
BRA,Brazil,-7.432915248912241,-52.91809329349095,-72.16582167067796,-78.48319267107753,-77.54851594769185,-6.42763831647528,-51.492186853344,-65.7471565086837,-75.4025707948903,-81.0092323973598
BRN,Brunei Darussalam,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.97e+36,9.97e+36,9.97e+36,9.97e+36,9.97e+36
BFA,Burkina Faso,-13.679260094891015,-80.30133747147381,-85.21574228946066,-80.19548308656749,-71.09882477916425,-21.8592304659666,-64.6530464336078,-78.3713218106414,-78.8239082498495,-73.5810383022163
MMR,Myanmar,-62.73052757611276,-95.93763545784205,-96.1495385604226,-94.92696985117394,-85.5844074065449,-14.2780917235134,-74.1425586433076,-84.4131181029553,-85.5268764519929,-94.8706309616422
BDI,Burundi,-7.570661580830646,-88.2956130907594,-92.30019504109623,-93.66993128858333,-99.99999999999999,12.3988448837326,-83.685239177043,-82.7664264993597,-62.2863708691687,-80.6057896564891
CPV,Cabo Verde,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.97e+36,9.97e+36,9.97e+36,9.97e+36,9.97e+36
KHM,Cambodia,0.5566815609440194,-94.64746126416544,-97.07622336487721,-84.62248172006868,-80.87619740028914,-13.8086611108646,-50.8738563113865,-71.3781638516184,-80.3492485007797,-83.274623635287
CMR,Cameroon,-42.948797028834605,-90.81003512767191,-93.35183581846115,-89.99716643595752,-81.91748709140099,-8.14729849222741,-62.9120535681997,-64.7720642618623,-62.0640056862427,-67.12522852031
CAN,Canada,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.98720989510308,-73.679395146041,-99.5959966727088,-99.8515133474854,-99.7406249377717,-98.1047008328748
CAF,Central African Republic,-28.30301051866348,-90.21618998302877,-93.44884290390993,-98.79136763453934,-98.23570434287845,-7.23740115542747,-44.453171201381,-72.8462227510556,-69.4023613268733,-65.6201955512008
TCD,Chad,-36.65826723835439,-81.5536120726486,-84.86650848127988,-77.76529916359321,-72.4217153481326,-14.8902870668664,-72.8027664895863,-76.7785106763082,-66.1421875770108,-68.7010783768966
CHL,Chile,-29.207899269265848,-58.84753712244801,-32.05584116467608,-29.940536418678885,-23.944687655039672,-9.90027924666705,-37.7684621025699,-72.755062314172,-74.062817502674,-73.8765363656753
CHN,China,-97.78695236648147,-99.6170490549169,-99.60609110118791,-98.56869518798338,-94.18261349048892,-37.3612765837817,-97.7264660505907,-98.0940570686308,-95.3527404759726,-93.2749364210494
COL,Colombia,-48.02261670486712,-81.87017837342493,-85.41603111060738,-78.16905207403151,-77.97140475659072,-6.7506316293595,-46.5415339635802,-67.4353247959238,-77.0770303155937,-82.9954291110927
COD,Congo,-8.91062798318832,-78.58377019934962,-96.55156377587902,-93.97543928695849,-99.2591082780062,-3.84657501029216,-50.6423618729626,-64.0194299922519,-60.0079103570818,-69.9423427076238
COG,Democratic Republic of the Congo,-5.241709942030576,-79.8831845245464,-92.31436394063192,-92.90923799244307,-96.47278822271288,-7.93093520756428,-42.0710565999291,-63.4726931249985,-68.0245345764887,-68.1674288987597
CRI,Costa Rica,109.01932283029964,95.24084214039043,111.70028655980609,21.606313195855883,80.57457957461752,-18.0540955887571,-36.720472208164,-63.8139348007539,-71.1356420753757,-70.2821057819141
CIV,Cote d'Ivoire,-19.37692664126317,-85.371588931719,-87.2909102177737,-88.33710345744635,-82.62797934889849,13.3202655334437,-56.7805895704948,-61.039587120823,-74.5152005241779,-75.1004134686304
CUB,Cuba,-31.411284988436666,-69.27150593973177,-84.93417575421363,-79.1762294861134,-78.3786482054482,54.9687136760428,-45.3522770968252,-73.1559616621423,-79.0838246662785,-78.5922887356091
DJI,Djibouti,-46.666474566280144,-94.38704936296094,-92.9089307905141,-91.84027036337876,-79.21624403866758,-12.5287114085122,-54.5022999810815,-75.5636021724411,-84.8563867335145,-89.1834875743945
DOM,Dominican Republic,-10.22740358465435,-47.6364216797367,-55.64148181075694,-52.82562719839722,-41.6436189200021,379.154038114116,165.192415409637,28.2609987246869,24.8815839602366,48.1655164080185
ECU,Ecuador,-30.96542370146065,-80.90134087654094,-95.77790563975643,-93.56104990597404,-77.28135124644396,-3.94641041190204,-34.1228129064061,-60.5080381546651,-76.4636751052227,-84.4409114521932
EGY,Egypt,-74.0694029403904,-82.71594511409764,-82.10588567567986,-74.17396646972026,-65.95863725423759,-82.7479051730523,-91.4218286352045,-93.0033624803616,-92.8576676608631,-89.4298420779636
SLV,El Salvador,-15.328010451540111,-68.27842525947872,-92.58815712636826,-81.41857564996917,-88.03831897332554,67.0217019408903,-16.2452690847898,-66.1849828883608,-74.2470644507383,-74.000704872133
ERI,Eritrea,-45.04887315236531,-72.90961910070394,-76.48976739993576,-76.46039369350589,-35.638910804756634,-27.0410092170967,-68.2032121826306,-80.0859986051375,-78.634163192709,-79.7432095501797
SWT,Eswatini,-5.484314769225618,-64.01045499672132,-69.68728381854305,-82.47462621169952,-71.34971685678977,-4.61434855355346,-41.8403307405491,-54.6692272064878,-79.9361026323678,-84.0771397874752
ETH,Ethiopia,-47.64084835100181,-88.465688145193,-90.05934354247655,-88.85096827127283,-80.74084176592946,-0.112667731471837,-65.4595369588667,-70.3517294443861,-72.2375429344935,-76.4028443856726
FJI,Fiji,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.37e+36,9.97e+36,9.97e+36,9.97e+36,9.97e+36,9.97e+36
