iso3,country,aq_kcals,aq_fat,aq_protein
AFG,Afghanistan,1550.0,230.0,980.0
ALB,Albania,2110.0,340.0,1240.0
DZA,Algeria,18960.0,3150.0,11280.0
AGO,Angola,99180.0,17510.0,56600.0
ARG,Argentina,131160.0,18720.0,81030.0
ARM,Armenia,2890.0,400.0,1860.0
AUS,Australia,44780.0,6460.0,27880.0
AZE,Azerbaijan,280.0,40.0,180.0
BHR,Bahrain,0.0,0.0,0.0
BGD,Bangladesh,704870.0,100140.0,450440.0
BRB,Barbados,300.0,50.0,180.0
BLR,Belarus,1920.0,280.0,1210.0
BEN,Benin,9260.0,1360.0,5780.0
BTN,Bhutan,0.0,0.0,0.0
BOL,Bolivia (Plurinational State of),1810.0,260.0,1140.0
BIH,Bosnia and Herzegovina,700.0,100.0,440.0
BWA,Botswana,10.0,0.0,10.0
BRA,Brazil,221460.0,33770.0,135910.0
BRN,Brunei Darussalam,0.0,0.0,0.0
BFA,Burkina Faso,3850.0,560.0,2440.0
MMR,Myanmar,535700.0,76260.0,352620.0
BDI,Burundi,3520.0,510.00000000000006,2220.0
CPV,Cabo Verde,3840.0,650.0,2230.0
KHM,Cambodia,144060.0,20510.0,92360.0
CMR,Cameroon,42720.0,7010.0,25150.0
CAN,Canada,154350.0,20850.0,96660.0
CAF,Central African Republic,5030.0,730.0,3180.0
TCD,Chad,18550.0,2690.0,11720.0
CHL,Chile,549920.0,83670.0,332100.0
CHN,China,9015860.0,1171980.0,5732470.0
COL,Colombia,33860.0,5190.0,20840.0
COG,Congo,17270.0,2850.0,10330.0
COD,Democratic Republic of the Congo,41610.0,6110.0,26160.0
CRI,Costa Rica,6110.0,890.0,3840.0
CIV,Cote d'Ivoire,14000.0,2160.0,9090.0
CUB,Cuba,8560.0,1160.0,5520.0
DJI,Djibouti,390.0,70.0,220.0
DOM,Dominican Republic,2930.0,440.0,1840.0
ECU,Ecuador,196160.0,25630.0,126650.00000000001
EGY,Egypt,313650.0,49750.0,189680.0
SLV,El Salvador,11710.0,1880.0,7070.0
ERI,Eritrea,0.0,0.0,0.0
SWT,Eswatini,30.0,0.0,20.0
ETH,Ethiopia,9690.0,1400.0,6120.0
FJI,Fiji,8380.0,1340.0,5200.0
GAB,Gabon,5260.0,900.0,3060.0
GMB,Gambia,12060.0,2080.0,6960.0
GEO,Georgia,21150.0,3550.0,12360.0
GHA,Ghana,84680.0,13830.0,50480.0
GTM,Guatemala,7270.0,870.0,4850.0
GIN,Guinea,25270.0,4290.0,14740.0
GNB,Guinea-Bissau,1140.0,210.0,660.0
GUY,Guyana,6480.0,630.0,4750.0
HTI,Haiti,2880.0,420.0,1960.0
HND,Honduras,10770.0,1000.0,7690.0
IND,India,2006279.9999999998,293500.0,1253780.0
IDN,Indonesia,2257520.0,338110.0,1396130.0
IRN,Iran (Islamic Republic of),222850.0,36030.0,133400.0
IRQ,Iraq,11510.0,1690.0,7230.0
ISR,Israel,3280.0,540.0,1950.0
JAM,Jamaica,2790.0,410.0,1900.0
JPN,Japan,671940.0,107200.0,396440.0
JOR,Jordan,310.0,50.0,190.0
KAZ,Kazakhstan,5640.0,830.0,3550.0
KEN,Kenya,23450.0,3550.0,14520.0
KOR,Democratic People's Republic of Korea,40060.0,5830.0,25350.0
PRK,Republic of Korea,300200.0,44060.0,180600.0
KWT,Kuwait,710.0,110.0,430.0
KGZ,Kyrgyzstan,380.0,50.0,240.0
LAO,Lao People's Democratic Republic,30180.0,4380.0,19070.0
LBN,Lebanon,870.0,150.0,490.0
LSO,Lesotho,230.0,30.0,150.0
LBR,Liberia,2800.0,490.0,1610.0
LBY,Libya,5870.0,1100.0,3210.0
MDG,Madagascar,27380.0,3580.0,18560.0
MWI,Malawi,36530.0,5300.0,23080.0
MYS,Malaysia,298940.0,46940.0,183150.0
MLI,Mali,19010.0,2760.0,12010.0
MRT,Mauritania,157140.0,26060.0,93030.0
MUS,Mauritius,5250.0,900.0,3070.0
MEX,Mexico,324210.0,47600.0,199100.0
MDA,Republic of Moldova,2090.0,300.0,1320.0
MNG,Mongolia,0.0,0.0,0.0
MAR,Morocco,282410.0,46020.0,167760.0
MOZ,Mozambique,54640.0,7750.0,36860.0
NAM,Namibia,98480.0,17820.0,55120.0
NPL,Nepal,13320.0,1930.0,8410.0
NZL,New Zealand,84280.0,15560.0,45180.0
NIC,Nicaragua,10830.0,1170.0,7170.0
NER,Niger,6030.0,870.0,3810.0
NGA,Nigeria,211430.0,33030.0,129140.0
MKD,North Macedonia,280.0,40.0,170.0
NOR,Norway,654500.0,112510.0,377730.0
OMN,Oman,68490.0,12090.0,38980.0
PAK,Pakistan,122930.0,19820.0,73650.0
PAN,Panama,31649.999999999996,5180.0,18730.0
PNG,Papua New Guinea,67890.0,11350.0,39830.0
PRY,Paraguay,4170.0,610.0,2640.0
PER,Peru,871200.0,140650.0,518460.00000000006
PHL,Philippines,499570.0,78970.0,300070.0
QAT,Qatar,0.0,0.0,0.0
RUS,Russian Federation,897640.0,167240.0,492310.0
RWA,Rwanda,4890.0,710.0,3090.0
SAU,Saudi Arabia,20010.0,2630.0,12880.0
SEN,Senegal,97790.0,16470.0,56880.0
SRB,Serbia,1260.0,180.0,790.0
SLE,Sierra Leone,39350.0,6940.0,22500.0
SGP,Singapore,0.0,0.0,0.0
SOM,Somalia,0.0,0.0,0.0
ZAF,South Africa,103370.0,18630.0,58050.0
SSD,South Sudan,0.0,0.0,0.0
LKA,Sri Lanka,101170.0,15980.000000000002,61480.0
SDN,Sudan,8140.0,1180.0,5180.0
SUR,Suriname,7630.0,1040.0,5270.0
CHE,Switzerland,630.0,90.0,400.0
SYR,Syrian Arab Republic,1180.0,180.0,720.0
TWN,Taiwan,0.0,0.0,0.0
TJK,Tajikistan,270.0,40.0,170.0
TZA,United Republic of Tanzania,75970.0,11610.0,46810.0
THA,Thailand,388980.0,52210.0,250910.00000000003
TGO,Togo,5300.0,870.0,3160.0
TTO,Trinidad and Tobago,2250.0,370.0,1390.0
TUN,Tunisia,24490.0,4200.0,14130.0
TUR,Turkiye,111980.0,19330.0,63930.0
TKM,Turkmenistan,2600.0,380.0,1640.0
UGA,Uganda,86630.0,12560.0,54740.0
UKR,Ukraine,19660.0,3110.0,11850.0
ARE,United Arab Emirates,14180.0,2700.0,7710.0
USA,United States of America,891950.0,156120.0,500120.0
URY,Uruguay,10660.0,2160.0,5550.0
UZB,Uzbekistan,14480.0,2100.0,9150.0
VEN,Venezuela (Bolivarian Republic of),54970.0,8620.0,32810.0
VNM,Viet Nam,1149890.0,148130.0,771630.0
YEM,Yemen,26320.0,4420.0,15340.0
ZMB,Zambia,19730.0,2860.0,12460.0
ZWE,Zimbabwe,4630.0,670.0,2920.0
AUT,Austria,27206.33883,4272.048884,16371.510610000001
BEL,Belgium,47396.52141,7856.143354999999,27559.70805
BGR,Bulgaria,11306.92147,1772.074149,6723.743348999999
HRV,Croatia,14787.71753,2290.8073,8918.874082999999
CYP,Cyprus,7254.898166,1064.869055,4460.197688
CZE,Czechia,25555.754100000002,4296.509091,15001.2705
DNK,Denmark,36125.87955,5704.676551,21109.687039999997
EST,Estonia,3735.36772,620.8969460000001,2167.550715
FIN,Finland,50420.260969999996,8037.312156000001,30376.19022
FRA,France,377726.3002,61506.439320000005,216057.8436
DEU,Germany,185774.6124,30372.812240000003,109779.5113
GRC,Greece,109693.1952,17838.09258,64984.95771
HUN,Hungary,12993.02459,2114.545799,7722.261902
IRL,Ireland,25645.24493,4622.7001230000005,13192.684
ITA,Italy,334527.5871,49586.025409999995,203265.0213
LVA,Latvia,13724.84658,2250.73483,8323.960455
