iso3,country,dairy
AFG,Afghanistan,2112000.0
ALB,Albania,1112000.0
DZA,Algeria,3343000.0
AGO,Angola,218000.0
ARG,Argentina,10340000.0
ARM,Armenia,668000.0
AUS,Australia,8795000.0
AZE,Azerbaijan,2151000.0
BHR,Bahrain,12000.0
BGD,Bangladesh,3650000.0
BRB,Barbados,5000.0
BLR,Belarus,7394000.0
BEN,Benin,153000.0
BTN,Bhutan,192000.0
BOL,Bolivia (Plurinational State of),598000.0
BIH,Bosnia and Herzegovina,656000.0
BWA,Botswana,291000.0
BRA,Brazil,36256000.0
BRN,Brunei Darussalam,0.0
BFA,Burkina Faso,449000.0
MMR,Myanmar,2529000.0
BDI,Burundi,108000.0
CPV,Cabo Verde,9000.0
KHM,Cambodia,24000.0
CMR,Cameroon,252000.0
CAN,Canada,9210000.0
CAF,Central African Republic,81000.0
TCD,Chad,389000.0
CHL,Chile,2151000.0
CHN,China,36350000.0
COL,Colombia,6825000.0
COD,Congo,4000.0
COG,Democratic Republic of the Congo,8000.0
CRI,Costa Rica,1189000.0
CIV,Cote d'Ivoire,34000.0
CUB,Cuba,517000.0
DJI,Djibouti,15000.0
DOM,Dominican Republic,917000.0
ECU,Ecuador,1858000.0
EGY,Egypt,5251000.0
SLV,El Salvador,357000.0
ERI,Eritrea,146000.0
SWT,Eswatini,40000.0
ETH,Ethiopia,4196000.0
FJI,Fiji,11000.0
GAB,Gabon,14000.0
GMB,Gambia,78000.0
GEO,Georgia,575000.0
GHA,Ghana,46000.0
GTM,Guatemala,507000.0
GIN,Guinea,279000.0
GNB,Guinea-Bissau,41000.0
GUY,Guyana,55000.0
HTI,Haiti,101000.0
HND,Honduras,681000.0
IND,India,187631000.0
IDN,Indonesia,1560000.0
IRN,Iran (Islamic Republic of),7531000.0
IRQ,Iraq,397000.0
ISR,Israel,1584000.0
JAM,Jamaica,202000.0
JPN,Japan,7316000.0
JOR,Jordan,457000.0
KAZ,Kazakhstan,5856000.0
KEN,Kenya,5457000.0
KOR,Democratic People's Republic of Korea,84000.0
PRK,Republic of Korea,1818000.0
KWT,Kuwait,77000.0
KGZ,Kyrgyzstan,1667000.0
LAO,Lao People's Democratic Republic,7000.0
LBN,Lebanon,399000.0
LSO,Lesotho,180000.0
LBR,Liberia,9000.0
LBY,Libya,227000.0
MDG,Madagascar,481000.0
MWI,Malawi,203000.0
MYS,Malaysia,48000.0
MLI,Mali,967000.0
MRT,Mauritania,362000.0
MUS,Mauritius,3000.0
MEX,Mexico,12494000.0
MDA,Republic of Moldova,367000.0
MNG,Mongolia,1074000.0
MAR,Morocco,2641000.0
MOZ,Mozambique,558000.0
NAM,Namibia,113000.0
NPL,Nepal,2319000.0
NZL,New Zealand,21786000.0
NIC,Nicaragua,1318000.0
NER,Niger,1442000.0
NGA,Nigeria,521000.0
MKD,North Macedonia,443000.0
NOR,Norway,1547000.0
OMN,Oman,236000.0
PAK,Pakistan,58851000.0
PAN,Panama,189000.0
PNG,Papua New Guinea,0.0
PRY,Paraguay,480000.0
PER,Peru,2142000.0
PHL,Philippines,15000.0
QAT,Qatar,52000.0
RUS,Russian Federation,31354000.0
RWA,Rwanda,252000.0
SAU,Saudi Arabia,2682000.0
SEN,Senegal,251000.0
SRB,Serbia,1597000.0
SLE,Sierra Leone,147000.0
SGP,Singapore,0.0
SOM,Somalia,2206000.0
ZAF,South Africa,3873000.0
SSD,South Sudan,3086000.0
LKA,Sri Lanka,463000.0
SDN,Sudan,4623000.0
SUR,Suriname,3000.0
CHE,Switzerland,3822000.0
SYR,Syrian Arab Republic,1785000.0
TWN,Taiwan,445000.0
TJK,Tajikistan,1055000.0
TZA,United Republic of Tanzania,2888000.0
THA,Thailand,1200000.0
TGO,Togo,12000.0
TTO,Trinidad and Tobago,3000.0
TUN,Tunisia,1407000.0
TUR,Turkiye,22960000.0
TKM,Turkmenistan,1900000.0
UGA,Uganda,1725000.0
UKR,Ukraine,9663000.0
ARE,United Arab Emirates,163000.0
USA,United States of America,99109000.0
URY,Uruguay,2168000.0
UZB,Uzbekistan,10662000.0
VEN,Venezuela (Bolivarian Republic of),2066000.0
VNM,Viet Nam,1013000.0
YEM,Yemen,370000.0
ZMB,Zambia,386000.0
ZWE,Zimbabwe,427000.0
AUT,Austria,3934426.2295081965
BEL,Belgium,4590163.934426229
BGR,Bulgaria,1311475.4098360655
HRV,Croatia,655737.7049180327
CYP,Cyprus,0.0
CZE,Czechia,3278688.524590164
DNK,Denmark,5901639.344262295
EST,Estonia,655737.7049180327
FIN,Finland,2622950.819672131
FRA,France,25573770.49180328
DEU,Germany,32786885.245901633
GRC,Greece,1967213.1147540982
HUN,Hungary,1967213.1147540982
IRL,Ireland,7868852.459016393
ITA,Italy,13114754.098360656
LVA,Latvia,655737.7049180327
LTU,Lithuania,1311475.4098360655
LUX,Luxembourg,655737.7049180327
MLT,Malta,0.0
MNE,Montenegro,0.0
NLD,Netherlands,14426229.508196723
POL,Poland,14426229.508196723
PRT,Portugal,1967213.1147540982
ROU,Romania,4590163.934426229
SVK,Slovakia,655737.7049180327
SVN,Slovenia,655737.7049180327
ESP,Spain,8524590.163934426
SWE,Sweden,2622950.819672131
GBR,United Kingdom of Great Britain and Northern Ireland,15081967.213114755
,,
,World,875957000.0
