iso3,country,feed_kcals,feed_fat,feed_protein
AFG,Afghanistan,730000.0,70000.0,130000.0
ALB,Albania,510000.0,30000.0,60000.0
DZA,Algeria,5520000.0,240000.0,780000.0
AGO,Angola,1140000.0,50000.0,110000.0
ARG,Argentina,52000000.0,2330000.0,19170000.0
ARM,Armenia,310000.0,10000.0,50000.0
AUS,Australia,12010000.0,730000.0,2180000.0
AZE,Azerbaijan,1760000.0,100000.0,310000.0
BHR,Bahrain,0.0,0.0,0.0
BGD,Bangladesh,11700000.0,920000.0,2170000.0
BRB,Barbados,50000.0,0.0,10000.0
BLR,Belarus,5550000.0,420000.0,1070000.0
BEN,Benin,1230000.0,80000.0,210000.0
BTN,Bhutan,0.0,0.0,0.0
BOL,Bolivia (Plurinational State of),3410000.0,90000.0,1200000.0
BIH,Bosnia and Herzegovina,1010000.0,40000.0,160000.0
BWA,Botswana,50000.0,0.0,10000.0
BRA,Brazil,88590000.0,3340000.0,23840000.0
BRN,Brunei Darussalam,0.0,0.0,0.0
BFA,Burkina Faso,630000.0,30000.0,150000.0
MMR,Myanmar,9560000.0,450000.0,1490000.0
BDI,Burundi,0.0,0.0,0.0
CPV,Cabo Verde,10000.0,0.0,0.0
KHM,Cambodia,1140000.0,140000.0,160000.0
CMR,Cameroon,1590000.0,60000.0,240000.0
CAN,Canada,28180000.0,1000000.0,6650000.0
CAF,Central African Republic,30000.0,0.0,10000.0
TCD,Chad,690000.0,140000.0,130000.0
CHL,Chile,4230000.0,330000.0,840000.0
CHN,China,387450000.0,18970000.0,79330000.0
COL,Colombia,7020000.0,430000.0,1280000.0
COD,Congo,40000.0,0.0,0.0
COG,Democratic Republic of the Congo,60000.0,0.0,20000.0
CRI,Costa Rica,1060000.0,60000.0,220000.0
CIV,Cote d'Ivoire,1300000.0,40000.0,120000.0
CUB,Cuba,1700000.0,70000.0,340000.0
DJI,Djibouti,100000.0,0.0,10000.0
DOM,Dominican Republic,1770000.0,90000.0,220000.0
ECU,Ecuador,930000.0,60000.0,190000.0
EGY,Egypt,14980000.0,760000.0,3470000.0
SLV,El Salvador,890000.0,50000.0,100000.0
ERI,Eritrea,0.0,0.0,0.0
SWT,Eswatini,40000.0,0.0,10000.0
ETH,Ethiopia,2320000.0,120000.0,350000.0
FJI,Fiji,30000.0,0.0,0.0
GAB,Gabon,80000.0,0.0,10000.0
GMB,Gambia,10000.0,0.0,0.0
GEO,Georgia,210000.0,10000.0,40000.0
GHA,Ghana,2710000.0,90000.0,280000.0
GTM,Guatemala,1410000.0,60000.0,230000.0
GIN,Guinea,1230000.0,70000.0,160000.0
GNB,Guinea-Bissau,20000.0,0.0,0.0
GUY,Guyana,290000.0,20000.0,30000.0
HTI,Haiti,160000.0,10000.0,20000.0
HND,Honduras,650000.0,30000.0,110000.0
IND,India,49610000.0,3090000.0,12960000.0
IDN,Indonesia,19640000.0,1720000.0,5410000.0
IRN,Iran (Islamic Republic of),17530000.0,620000.0,2910000.0
IRQ,Iraq,1610000.0,80000.0,220000.0
ISR,Israel,2840000.0,120000.0,480000.0
JAM,Jamaica,300000.0,10000.0,40000.0
JPN,Japan,17490000.0,700000.0,3750000.0
JOR,Jordan,1340000.0,50000.0,170000.0
KAZ,Kazakhstan,4350000.0,240000.0,890000.0
KEN,Kenya,830000.0,60000.0,160000.0
KOR,Democratic People's Republic of Korea,630000.0,30000.0,110000.0
PRK,Republic of Korea,9940000.0,410000.0,2380000.0
KWT,Kuwait,630000.0,20000.0,80000.0
KGZ,Kyrgyzstan,1280000.0,60000.0,190000.0
LAO,Lao People's Democratic Republic,960000.0,60000.0,90000.0
LBN,Lebanon,1160000.0,40000.0,270000.0
LSO,Lesotho,20000.0,0.0,0.0
