iso3,country,stocks_kcals_jan,stocks_kcals_feb,stocks_kcals_mar,stocks_kcals_apr,stocks_kcals_may,stocks_kcals_jun,stocks_kcals_jul,stocks_kcals_aug,stocks_kcals_sep,stocks_kcals_oct,stocks_kcals_nov,stocks_kcals_dec
AFG,Afghanistan,569531.4166666667,535206.6666666667,500881.9166666667,466557.1666666666,432732.4166666667,398907.6666666667,467557.1666666666,536206.6666666666,604356.1666666667,672505.6666666667,638180.9166666667,603856.1666666667
ALB,Albania,145901.70833333343,186569.33333333346,227236.95833333346,267904.58333333343,220339.20833333343,172773.83333333328,180521.58333333328,188269.33333333334,195167.08333333334,202064.83333333337,153649.45833333337,194317.08333333343
DZA,Algeria,7063686.041666663,6790626.83333333,6517567.624999995,6244508.416666662,5971449.20833333,5698390.0,6244508.416666665,6790626.833333332,7336745.249999999,7882863.666666665,7609804.458333331,7336745.249999997
AGO,Angola,1341771.4583333326,1171042.9999999993,1000314.5416666659,829586.0833333333,1170343.875,1511101.6666666665,1852558.5833333328,2194015.4999999995,2023986.166666666,1853956.8333333328,1683228.3749999995,1512499.916666666
ARG,Argentina,81688643.00000001,76506818.0,79685774.25000003,78827805.5,78465336.75,78102868.00000001,69379618.00000001,60458899.25000001,51042680.5,56586974.25,66365661.75,76144349.25000001
ARM,Armenia,165008.54166666674,168525.33333333343,172042.1250000001,175558.91666666677,144387.70833333346,113216.50000000001,141470.91666666666,169725.33333333337,197379.75000000006,225034.16666666672,193262.95833333343,196779.7500000001
AUS,Australia,24923144.04166667,24318220.66666667,21719995.916666668,19131471.666666668,16542947.416666673,13954423.166666673,12371608.291666673,10779092.916666672,9186577.54166667,12380025.166666664,16561064.791666666,20742104.416666668
AZE,Azerbaijan,1473035.0000000002,1266993.3750000002,1060951.75,854910.1250000003,655920.3750000002,456930.62500000006,870212.0000000001,1283493.375,1688524.7500000002,2093556.125,1886316.3750000002,1680274.7500000005
BHR,Bahrain,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5,41729.5
BGD,Bangladesh,12755049.041666668,9895700.833333332,7036352.624999999,4177004.4166666656,9601773.708333334,15026543.0,20745239.416666668,26463935.833333336,23898514.75,21333093.666666664,18473745.45833333,15614397.249999998
BRB,Barbados,13342.666666666664,12359.33333333333,11375.999999999996,10392.66666666666,9409.333333333328,8425.999999999995,7442.666666666662,6459.3333333333285,5475.999999999999,7442.666666666666,9409.333333333332,11375.999999999998
BLR,Belarus,3308926.0416666665,2923743.833333334,2538561.6250000005,2153379.4166666665,1768197.2083333333,1383014.9999999998,1998629.4166666667,2614243.833333334,3229858.2500000005,4000222.6666666665,3769790.458333334,3539358.2500000005
BEN,Benin,1185386.3333333335,1064568.2083333337,943750.0833333335,822931.9583333336,704613.8333333337,586295.7083333337,467977.5833333338,349659.4583333338,228841.33333333328,467977.5833333333,707113.8333333333,946250.0833333335
BTN,Bhutan,46681.87500000001,40759.25000000001,34836.625,28914.000000000004,22991.374999999996,17068.75,11845.25,6621.749999999998,1398.2499999999998,13243.499999999996,24389.624999999996,35535.75
BOL,Bolivia (Plurinational State of),2370243.5833333335,1926843.208333333,2314954.083333334,2781298.0833333335,3247642.0833333335,3713986.083333334,3654525.5833333335,3516831.958333334,3379138.3333333326,3356194.7083333326,3027544.3333333335,2698893.9583333335
BIH,Bosnia and Herzegovina,1098383.4583333333,1003131.2916666669,907879.1250000001,812626.9583333336,717374.7916666669,622122.6250000002,594276.3333333336,566430.0416666669,538583.75,729088.0833333334,852186.5416666667,975285.0000000001
BWA,Botswana,7741.250000000001,6494.166666666667,5247.083333333335,4000.0,6494.166666666666,8988.333333333332,11482.499999999998,13976.666666666666,12729.583333333334,11482.500000000002,10235.416666666666,8988.333333333332
BRA,Brazil,143199517.49999997,122344188.66666666,121267297.33333331,131190393.75000003,141113490.1666667,151036586.58333337,141181245.50000003,120256440.66666669,99331635.83333334,110263868.25000003,121265576.66666669,132267285.08333331
BRN,Brunei Darussalam,526.0416666666666,673.9583333333334,821.8749999999999,969.7916666666666,895.8333333333333,821.8749999999999,747.9166666666666,673.9583333333333,599.9999999999999,526.0416666666665,452.08333333333314,600.0
BFA,Burkina Faso,1308906.5,1172205.6666666667,1035504.8333333334,898804.0000000001,769103.1666666669,639402.3333333336,509701.50000000023,380000.6666666669,243299.8333333333,509701.49999999994,776103.1666666666,1042504.8333333331
MMR,Myanmar,1822824.2916666667,3491333.333333334,5159842.375,6871055.916666666,5840700.708333333,4810345.5,3812602.4166666674,2772154.833333335,1641707.2500000012,1003553.4166666678,332787.4583333342,2493590.2499999995
BDI,Burundi,-8233.958333333334,22150.62499999999,52535.208333333314,82919.79166666664,70102.49999999999,57285.20833333331,44467.91666666664,31650.624999999975,14083.333333333307,-3483.9583333333585,-21051.250000000025,9333.33333333333
