iso3,country,crop_area_1000ha,include_greenhouse,fraction_crop_area
AFG,Afghanistan,8010.0,1,0.00560129105347679
ALB,Albania,696.0,1,0.000486703941725324
DZA,Algeria,8517.0,1,0.00595582970068187
AGO,Angola,5215.0,1,0.00364678312657696
ARG,Argentina,33701.0,1,0.0235666803736855
ARM,Armenia,505.0,1,0.000353140072659897
AUS,Australia,30920.0,1,0.021621962468602
AZE,Azerbaijan,2356.0,1,0.00164752081423112
BHR,Bahrain,5.0,1,3.49643636296928e-06
BGD,Bangladesh,8797.0,1,0.00615163013700815
BRB,Barbados,8.0,1,5.59429818075085e-06
BLR,Belarus,5820.0,1,0.00406985192649624
BEN,Benin,3400.0,1,0.00237757672681911
BTN,Bhutan,100.0,1,6.99287272593856e-05
BOL,Bolivia (Plurinational State of),4787.0,1,0.00334748817390679
BIH,Bosnia and Herzegovina,1121.0,1,0.000783901032577712
BWA,Botswana,262.0,1,0.00018321326541959
BRA,Brazil,63518.0,1,0.0444173289806165
BRN,Brunei Darussalam,10.0,1,6.99287272593856e-06
BFA,Burkina Faso,6100.0,1,0.00426565236282252
MMR,Myanmar,12500.0,1,0.0087410909074232
BDI,Burundi,1550.0,1,0.00108389527252048
CPV,Cabo Verde,54.0,1,3.77615127200682e-05
KHM,Cambodia,4066.0,1,0.00284330205036662
CMR,Cameroon,7750.0,1,0.00541947636260238
CAN,Canada,38815.0,1,0.0271428354857305
CAF,Central African Republic,1880.0,1,0.00131466007247645
TCD,Chad,5238.0,1,0.00366286673384662
CHL,Chile,1656.0,1,0.00115801972341543
CHN,China,135675.0,1,0.0948758007091714
COL,Colombia,9872.0,1,0.00690336395504655
COD,Congo,628.0,1,0.000439152407188942
COG,Democratic Republic of the Congo,13300.0,1,0.00930052072549828
CRI,Costa Rica,576.0,1,0.000402789469014061
CIV,Cote d'Ivoire,8000.0,1,0.00559429818075085
CUB,Cuba,3663.0,1,0.00256148927951129
DJI,Djibouti,2.0,1,1.39857454518771e-06
DOM,Dominican Republic,1232.0,1,0.00086152191983563
ECU,Ecuador,2429.0,1,0.00169856878513048
EGY,Egypt,3836.0,1,0.00268246597767003
SLV,El Salvador,881.0,1,0.000616072087155187
ERI,Eritrea,692.0,1,0.000483906792634948
SWT,Eswatini,190.0,1,0.000132864581792833
ETH,Ethiopia,17903.0,1,0.0125193400412478
FJI,Fiji,250.0,1,0.000174821818148464
GAB,Gabon,495.0,1,0.000346147199933959
GMB,Gambia,445.0,1,0.000311182836304266
GEO,Georgia,428.0,1,0.00029929495267017
