iso3,country,power_law_improvement
AFG,Afghanistan,0.796
ALB,Albania,0.796
DZA,Algeria,0.796
AGO,Angola,0.796
ARG,Argentina,0.796
ARM,Armenia,0.796
AUS,Australia,0.796
AZE,Azerbaijan,0.796
BHR,Bahrain,0.796
BGD,Bangladesh,0.796
BRB,Barbados,0.796
BLR,Belarus,0.796
BEN,Benin,0.796
BTN,Bhutan,0.796
BOL,Bolivia (Plurinational State of),0.796
BIH,Bosnia and Herzegovina,0.796
BWA,Botswana,0.796
BRA,Brazil,0.796
BRN,Brunei Darussalam,0.796
BFA,Burkina Faso,0.796
MMR,Myanmar,0.796
BDI,Burundi,0.796
CPV,Cabo Verde,0.796
KHM,Cambodia,0.796
CMR,Cameroon,0.796
CAN,Canada,0.796
CAF,Central African Republic,0.796
TCD,Chad,0.796
CHL,Chile,0.796
CHN,China,0.796
COL,Colombia,0.796
COD,Congo,0.796
COG,Democratic Republic of the Congo,0.796
CRI,Costa Rica,0.796
CIV,Cote d'Ivoire,0.796
CUB,Cuba,0.796
DJI,Djibouti,0.796
DOM,Dominican Republic,0.796
ECU,Ecuador,0.796
EGY,Egypt,0.796
SLV,El Salvador,0.796
ERI,Eritrea,0.796
SWT,Eswatini,0.796
ETH,Ethiopia,0.796
FJI,Fiji,0.796
GAB,Gabon,0.796
GMB,Gambia,0.796
GEO,Georgia,0.796
GHA,Ghana,0.796
GTM,Guatemala,0.796
GIN,Guinea,0.796
GNB,Guinea-Bissau,0.796
GUY,Guyana,0.796
HTI,Haiti,0.796
HND,Honduras,0.796
IND,India,0.796
IDN,Indonesia,0.796
IRN,Iran (Islamic Republic of),0.796
IRQ,Iraq,0.796
ISR,Israel,0.796
JAM,Jamaica,0.796
JPN,Japan,0.796
JOR,Jordan,0.796
KAZ,Kazakhstan,0.796
KEN,Kenya,0.796
KOR,Democratic People's Republic of Korea,0.796
PRK,Republic of Korea,0.796
KWT,Kuwait,0.796
KGZ,Kyrgyzstan,0.796
LAO,Lao People's Democratic Republic,0.796
LBN,Lebanon,0.796
LSO,Lesotho,0.796
LBR,Liberia,0.796
LBY,Libya,0.796
MDG,Madagascar,0.796
MWI,Malawi,0.796
MYS,Malaysia,0.796
MLI,Mali,0.796
MRT,Mauritania,0.796
MUS,Mauritius,0.796
MEX,Mexico,0.796
MDA,Republic of Moldova,0.796
MNG,Mongolia,0.796
MAR,Morocco,0.796
MOZ,Mozambique,0.796
NAM,Namibia,0.796
NPL,Nepal,0.796
NZL,New Zealand,0.796
NIC,Nicaragua,0.796
NER,Niger,0.796
NGA,Nigeria,0.796
MKD,North Macedonia,0.796
NOR,Norway,0.796
OMN,Oman,0.796
PAK,Pakistan,0.796
PAN,Panama,0.796
PNG,Papua New Guinea,0.796
PRY,Paraguay,0.796
PER,Peru,0.796
PHL,Philippines,0.796
QAT,Qatar,0.796
RUS,Russian Federation,0.796
RWA,Rwanda,0.796
SAU,Saudi Arabia,0.796
SEN,Senegal,0.796
SRB,Serbia,0.796
SLE,Sierra Leone,0.796
SGP,Singapore,0.796
SOM,Somalia,0.796
ZAF,South Africa,0.796
SSD,South Sudan,0.796
LKA,Sri Lanka,0.796
SDN,Sudan,0.796
SUR,Suriname,0.796
CHE,Switzerland,0.796
SYR,Syrian Arab Republic,0.796
TWN,Taiwan,0.796
TJK,Tajikistan,0.796
TZA,United Republic of Tanzania,0.796
THA,Thailand,0.796
TGO,Togo,0.796
TTO,Trinidad and Tobago,0.796
TUN,Tunisia,0.796
TUR,Turkiye,0.796
TKM,Turkmenistan,0.796
UGA,Uganda,0.796
UKR,Ukraine,0.796
ARE,United Arab Emirates,0.796
USA,United States of America,0.46
URY,Uruguay,0.796
UZB,Uzbekistan,0.796
VEN,Venezuela (Bolivarian Republic of),0.796
VNM,Viet Nam,0.796
YEM,Yemen,0.796
ZMB,Zambia,0.796
ZWE,Zimbabwe,0.796
AUT,Austria,0.796
BEL,Belgium,0.796
BGR,Bulgaria,0.796
HRV,Croatia,0.796
CYP,Cyprus,0.796
CZE,Czechia,0.796
DNK,Denmark,0.796
EST,Estonia,0.796
FIN,Finland,0.796
FRA,France,0.796
DEU,Germany,0.796
GRC,Greece,0.796
HUN,Hungary,0.796
IRL,Ireland,0.796
ITA,Italy,0.796
LVA,Latvia,0.796
LTU,Lithuania,0.796
LUX,Luxembourg,0.796
MLT,Malta,0.796
NLD,Netherlands,0.796
POL,Poland,0.796
PRT,Portugal,0.796
ROU,Romania,0.796
SVK,Slovakia,0.796
SVN,Slovenia,0.796
ESP,Spain,0.796
SWE,Sweden,0.796
GBR,United Kingdom of Great Britain and Northern Ireland,0.796
