iso3,country,chicken,pork,beef
AFG,Afghanistan,27938.0,0,116008.0
ALB,Albania,12234.0,9002.0,32870.0
DZA,Algeria,260269.0,105.0,144434.0
AGO,Angola,52216.0,149772.0,104876.0
ARG,Argentina,2219238.0,655382.0,3168472.0
ARM,Armenia,12300.0,16200.0,68300.0
AUS,Australia,1246544.0,402704.0,2371600.0
AZE,Azerbaijan,115388.0,483.0,143082.0
BHR,Bahrain,9125.0,0,853.0
BGD,Bangladesh,210615.0,0,193671.0
BRB,Barbados,15735.0,2848.0,146.0
BLR,Belarus,512515.0,402700.0,340500.0
BEN,Benin,15508.0,7087.0,44064.0
BTN,Bhutan,1835.0,879.0,3900.0
BOL,Bolivia (Plurinational State of),471127.0,113397.0,276447.0
BIH,Bosnia and Herzegovina,65932.0,7621.0,14465.0
BWA,Botswana,3696.0,344.0,28277.0
BRA,Brazil,13787480.0,4482048.0,10100000.0
BRN,Brunei Darussalam,26326.0,31.0,1910.0
BFA,Burkina Faso,45297.0,40538.0,108296.0
MMR,Myanmar,1500000.0,1127135.0,456330.0
BDI,Burundi,6653.0,10061.0,10514.0
CPV,Cabo Verde,756.0,2457.0,695.0
KHM,Cambodia,16863.0,93196.0,54327.0
CMR,Cameroon,85298.0,32773.0,80779.0
CAN,Canada,1304676.0,2299446.0,1381940.0
CAF,Central African Republic,6860.0,19726.0,99158.0
TCD,Chad,6617.0,2521.0,472864.0
CHL,Chile,695709.0,574369.0,223350.0
CHN,China,15823712.0,42102311.0,6048629.0
COL,Colombia,1619784.0,439682.0,743901.0
COD,Congo,10406.0,25633.0,21015.0
COG,Democratic Republic of the Congo,6821.0,1779.0,5833.0
CRI,Costa Rica,137500.0,67607.0,89744.0
CIV,Cote d'Ivoire,72832.0,11938.0,34109.0
CUB,Cuba,16400.0,128377.0,66501.0
DJI,Djibouti,0,0,6074.0
DOM,Dominican Republic,312750.0,61167.0,66450.0
ECU,Ecuador,331001.0,226148.0,233425.0
EGY,Egypt,1339068.0,628.0,310645.0
SLV,El Salvador,151719.0,7000.0,16896.0
ERI,Eritrea,1241.0,0,23068.0
SWT,Eswatini,6024.0,1373.0,16619.0
ETH,Ethiopia,67803.0,2165.0,433025.0
F5707+GBR,European Union (27) + UK,12820941.0,24202680.0,7834300.0
FJI,Fiji,25368.0,4085.0,2507.0
GAB,Gabon,3990.0,3573.0,984.0
GMB,Gambia,1619.0,491.0,4249.0
GEO,Georgia,23700.0,19800.0,20100.0
GHA,Ghana,72138.0,25358.0,30729.0
GTM,Guatemala,234226.0,64837.0,227452.0
GIN,Guinea,12384.0,2677.0,105217.0
GNB,Guinea-Bissau,3155.0,14093.0,7290.0
GUY,Guyana,47112.0,793.0,2927.0
HTI,Haiti,8707.0,31810.0,48287.0
HND,Honduras,193527.0,9903.0,63681.0
IND,India,3550636.0,335932.0,916581.0
IDN,Indonesia,3707876.0,241354.0,515628.0
IRN,Iran (Islamic Republic of),2219155.0,0,526429.0
IRQ,Iraq,156549.0,0,33258.0
ISR,Israel,578164.0,15054.0,145797.0
JAM,Jamaica,123636.0,7986.0,7124.0
JPN,Japan,2347667.0,1305792.0,477463.0
JOR,Jordan,200034.0,0,30733.0
KAZ,Kazakhstan,228630.0,87478.0,521847.0
KEN,Kenya,69212.0,25785.0,244217.0
KOR,Democratic People's Republic of Korea,962000.0,1403000.0,287000.0
PRK,Republic of Korea,31687.0,110291.0,20926.0
KWT,Kuwait,62553.0,0,1900.0
KGZ,Kyrgyzstan,9679.0,14288.0,113611.0
LAO,Lao People's Democratic Republic,35698.0,97575.0,37409.0
LBN,Lebanon,126010.0,774.0,44265.0
LSO,Lesotho,1902.0,736.0,1686.0
LBR,Liberia,15308.0,13921.0,1177.0
LBY,Libya,129748.0,0,7010.0
MDG,Madagascar,51440.0,26947.0,34887.0
MWI,Malawi,109186.0,226441.0,55626.0
MYS,Malaysia,1532028.0,221325.0,36944.0
MLI,Mali,57844.0,560.0,71252.0
MRT,Mauritania,4624.0,0.0,29716.0
MUS,Mauritius,47500.0,606.0,1446.0
MEX,Mexico,3578694.0,1652362.0,2081262.0
MDA,Republic of Moldova,45463.0,73639.0,7881.0
MNG,Mongolia,286.0,417.0,158477.0
MAR,Morocco,821525.0,627.0,282000.0
MOZ,Mozambique,115027.0,91708.0,16184.0
NAM,Namibia,11121.0,6830.0,31952.0
NPL,Nepal,65000.0,29493.0,50200.0
NZL,New Zealand,216586.0,45375.0,701294.0
NIC,Nicaragua,140475.0,12494.0,152411.0
NER,Niger,20103.0,1523.0,68758.0
NGA,Nigeria,238250.0,302976.0,326398.0
MKD,North Macedonia,1494.0,14930.0,3886.0
NOR,Norway,101867.0,131041.0,86126.0
OMN,Oman,6547.0,0,15333.0
PAK,Pakistan,1657000.0,0,1179000.0
PAN,Panama,211537.0,41386.0,71213.0
PNG,Papua New Guinea,6639.0,82952.0,3128.0
PRY,Paraguay,71548.0,65735.0,515612.0
PER,Peru,1723497.0,169805.0,183941.0
PHL,Philippines,1393586.0,1499853.0,114563.0
QAT,Qatar,34761.0,0,1512.0
RUS,Russian Federation,4576733.0,4281613.0,1633742.0
RWA,Rwanda,19336.0,13547.0,34776.0
SAU,Saudi Arabia,900000.0,0,42000.0
SEN,Senegal,122823.0,19470.0,77007.0
SRB,Serbia,113978.0,303530.0,66926.0
SLE,Sierra Leone,19922.0,1478.0,9397.0
SGP,Singapore,95766.0,27765.0,35.0
SOM,Somalia,3886.0,103.0,55000.0
ZAF,South Africa,1873238.0,301990.0,1038688.0
SSD,South Sudan,20294.0,0,144733.0
LKA,Sri Lanka,224466.0,1546.0,22182.0
SDN,Sudan,80357.0,0,389367.0
SUR,Suriname,9687.0,2245.0,1724.0
CHE,Switzerland,103386.0,223986.0,143663.0
SYR,Syrian Arab Republic,124772.0,0,64392.0
TWN,Taiwan,656930.0,843856.0,6959.0
TJK,Tajikistan,3745.0,913.0,166323.0
TZA,United Republic of Tanzania,86626.0,14977.0,486736.0
THA,Thailand,1782014.0,893500.0,113010.0
TGO,Togo,43447.0,20418.0,6447.0
TTO,Trinidad and Tobago,63574.0,1749.0,966.0
TUN,Tunisia,144000.0,125.0,41600.0
TUR,Turkiye,2138451.0,0,961519.0
TKM,Turkmenistan,20110.0,214.0,144416.0
UGA,Uganda,69991.0,131234.0,163889.0
UKR,Ukraine,1343910.0,697200.0,345400.0
ARE,United Arab Emirates,51156.0,0,18086.0
USA,United States of America,20490251.0,12845097.0,12357232.0
URY,Uruguay,30458.0,10526.0,506791.0
UZB,Uzbekistan,66369.0,4844.0,961772.0
VEN,Venezuela (Bolivarian Republic of),406074.0,127430.0,408573.0
VNM,Viet Nam,1146318.0,3550105.0,373611.0
YEM,Yemen,194546.0,0,90164.0
ZMB,Zambia,51573.0,29156.0,198990.0
ZWE,Zimbabwe,67211.0,10107.0,52745.0
