iso3,country,milk_yield_kg_per_milk_bearing_animal_per_year
AFG,Afghanistan,161.90001
ALB,Albania,489.4
DZA,Algeria,139.90001
AGO,Angola,497.6
ARG,Argentina,7565.5
ARM,Armenia,902.4
AUS,Australia,6400.4
AUT,Austria,6247.1
AZE,Azerbaijan,1306.9
BHR,Bahrain,1130.4
BGD,Bangladesh,103.8
BRB,Barbados,1386.9
BLR,Belarus,5254.7
BEL,Belgium,7596.0
BEN,Benin,135.5
BTN,Bhutan,607.3
BOL,Bolivia,317.1
BIH,Bosnia and Herzegovina,2699.6
BWA,Botswana,978.0
BRA,Brazil,1693.6
BRN,Brunei,847.8
BGR,Bulgaria,718.10004
BFA,Burkina Faso,88.0
BDI,Burundi,141.6
KHM,Cambodia,201.0
CMR,Cameroon,111.200005
CAN,Canada,9646.7
CPV,Cape Verde,85.700005
CAF,Central African Republic,248.3
TCD,Chad,100.6
CHL,Chile,2684.0
CHN,China,624.4
COL,Colombia,1904.1
COG,Congo,1368.6
CRI,Costa Rica,1348.5
CIV,Cote d'Ivoire,101.700005
HRV,Croatia,2235.3
CUB,Cuba,1155.0
CYP,Cyprus,796.60004
CZE,Czechia,6689.1
COD,Democratic Republic of Congo,896.5
DNK,Denmark,10096.601
DJI,Djibouti,267.0
DOM,Dominican Republic,1520.4
ECU,Ecuador,1823.8
EGY,Egypt,1138.0
SLV,El Salvador,1174.0
ERI,Eritrea,121.5
EST,Estonia,8944.0
SWT,Eswatini,295.1
ETH,Ethiopia,315.1
FJI,Fiji,339.9
FIN,Finland,9414.4
FRA,France,4265.0
GAB,Gabon,1386.0
GMB,Gambia,1388.8
GEO,Georgia,939.7
DEU,Germany,7698.0
GHA,Ghana,135.1
GRC,Greece,269.6
GTM,Guatemala,715.60004
GIN,Guinea,187.40001
GNB,Guinea-Bissau,125.200005
GUY,Guyana,1410.3
HTI,Haiti,120.700005
HND,Honduras,1372.0
HUN,Hungary,6274.5
IND,India,1444.6
IDN,Indonesia,109.9
IRN,Iran,341.80002
IRQ,Iraq,75.9
IRL,Ireland,6005.6
ISR,Israel,3535.9001
ITA,Italy,1862.6
JAM,Jamaica,375.6
JPN,Japan,8939.2
JOR,Jordan,147.3
KAZ,Kazakhstan,2006.7001
KEN,Kenya,488.5
KWT,Kuwait,1460.0
KGZ,Kyrgyzstan,1469.2001
LAO,Laos,177.0
LVA,Latvia,7129.6
LBN,Lebanon,771.2
LSO,Lesotho,1401.8
LBR,Liberia,1383.2001
LBY,Libya,84.5
LTU,Lithuania,6314.2
LUX,Luxembourg,7022.2
MDG,Madagascar,295.2
MWI,Malawi,88.9
MYS,Malaysia,1154.4
MLI,Mali,25.800001
MLT,Malta,1928.9
MRT,Mauritania,81.200005
MUS,Mauritius,436.80002
MEX,Mexico,2671.2
MDA,Moldova,426.1
MNG,Mongolia,60.100002
MAR,Morocco,582.7
MOZ,Mozambique,2352.7
MMR,Myanmar,458.6
NAM,Namibia,448.30002
NPL,Nepal,494.30002
NLD,Netherlands,6946.2
NZL,New Zealand,4555.3003
NIC,Nicaragua,1509.0
NER,Niger,96.1
NGA,Nigeria,236.40001
PRK,North Korea,2323.6
MKD,North Macedonia,577.4
NOR,Norway,6400.9
OMN,Oman,170.6
PAK,Pakistan,1535.6
PAN,Panama,1252.6
PNG,Papua New Guinea,68.1
PRY,Paraguay,2510.7
PER,Peru,1795.0
PHL,Philippines,2895.6
POL,Poland,5984.8003
PRT,Portugal,2668.3
QAT,Qatar,117.6
ROU,Romania,428.80002
RUS,Russia,3163.9001
RWA,Rwanda,237.40001
SAU,Saudi Arabia,534.10004
SEN,Senegal,107.1
SRB,Serbia,2578.2
SLE,Sierra Leone,1388.7001
SVK,Slovakia,2843.5
SVN,Slovenia,5820.1
SOM,Somalia,137.2
ZAF,South Africa,3831.3
KOR,South Korea,7288.3003
SSD,South Sudan,169.90001
ESP,Spain,1762.7001
LKA,Sri Lanka,872.60004
SDN,Sudan,89.5
SUR,Suriname,2162.2
SWE,Sweden,9286.4
CHE,Switzerland,6526.8003
SYR,Syria,159.8
TWN,Taiwan,4520.5
TJK,Tajikistan,850.60004
TZA,Tanzania,285.2
THA,Thailand,5454.5
TGO,Togo,178.1
TTO,Trinidad and Tobago,236.40001
TUN,Tunisia,1277.8
TUR,Turkey,746.2
TKM,Turkmenistan,1785.5
UGA,Uganda,438.7
UKR,Ukraine,3804.9001
ARE,United Arab Emirates,134.3
GBR,United Kingdom,8187.7
USA,United States,10588.101
URY,Uruguay,3056.0
UZB,Uzbekistan,2794.7
VEN,Venezuela,938.60004
VNM,Vietnam,3225.1
YEM,Yemen,89.5
ZMB,Zambia,1391.5
ZWE,Zimbabwe,431.80002
SGP,Singapore,1154.4
