iso3,country,crop_reduction_year1,crop_reduction_year2,crop_reduction_year3,crop_reduction_year4,crop_reduction_year5,grasses_reduction_year1,grasses_reduction_year2,grasses_reduction_year3,grasses_reduction_year4,grasses_reduction_year5
AFG,Afghanistan,-0.97,-1.0,-1.0,-0.97,-0.81,-0.31,-1.0,-0.99,-0.88,-0.81
ALB,Albania,-0.91,-0.97,-0.97,-0.88,-0.76,0.02,-0.6,-0.98,-0.78,-0.99
DZA,Algeria,-0.83,-0.49,-0.49,-0.24,0.02,-0.04,-0.76,-0.92,-0.85,-0.97
AGO,Angola,-0.08,-0.78,-0.95,-0.97,-0.92,-0.05,-0.44,-0.62,-0.72,-0.75
ARG,Argentina,-0.05,-0.69,-0.78,-0.83,-0.8,-0.04,-0.47,-0.75,-0.76,-0.83
ARM,Armenia,-1.0,-1.0,-1.0,-1.0,-0.99,-0.31,-0.99,-0.97,-0.99,-0.98
AUS,Australia,-0.02,-0.69,-0.7,-0.78,-0.81,0.0,-0.49,-0.71,-0.78,-0.74
AZE,Azerbaijan,-1.0,-1.0,-1.0,-0.94,-0.97,-0.1,-1.0,-0.89,-0.94,-0.9
BHR,Bahrain,5.84,-1.0,-1.0,0.31,0.31,-0.08,-0.8,-0.98,-1.0,-1.0
BGD,Bangladesh,-0.27,-0.75,-0.72,-0.66,-0.59,-0.54,-0.69,-0.8,-0.89,-0.96
BRB,Barbados,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BLR,Belarus,-1.0,-1.0,-1.0,-1.0,-1.0,-0.12,-1.0,-1.0,-1.0,-0.96
BEN,Benin,-0.13,-0.71,-0.82,-0.81,-0.7,0.14,-0.64,-0.7,-0.7,-0.67
BTN,Bhutan,-0.68,-0.97,-0.97,-0.97,-0.96,-0.16,-1.0,-0.97,-0.92,-0.97
BOL,Bolivia (Plurinational State of),-0.21,-0.7,-0.87,-0.89,-0.84,-0.16,-0.45,-0.64,-0.76,-0.84
BIH,Bosnia and Herzegovina,-1.0,-0.99,-0.99,-0.96,-0.84,-0.28,-0.84,-1.0,-1.0,-1.0
BWA,Botswana,-0.21,-0.85,-0.95,-0.91,-0.85,-0.15,-0.65,-0.77,-0.75,-0.83
BRA,Brazil,-0.07,-0.53,-0.72,-0.78,-0.78,-0.06,-0.51,-0.66,-0.75,-0.81
BRN,Brunei Darussalam,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BFA,Burkina Faso,-0.14,-0.8,-0.85,-0.8,-0.71,-0.22,-0.65,-0.78,-0.79,-0.74
MMR,Myanmar,-0.63,-0.96,-0.96,-0.95,-0.86,-0.14,-0.74,-0.84,-0.86,-0.95
BDI,Burundi,-0.08,-0.88,-0.92,-0.94,-1.0,0.12,-0.84,-0.83,-0.62,-0.81
CPV,Cabo Verde,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
KHM,Cambodia,0.01,-0.95,-0.97,-0.85,-0.81,-0.14,-0.51,-0.71,-0.8,-0.83
CMR,Cameroon,-0.43,-0.91,-0.93,-0.9,-0.82,-0.08,-0.63,-0.65,-0.62,-0.67
CAN,Canada,-1.0,-1.0,-1.0,-1.0,-1.0,-0.74,-1.0,-1.0,-1.0,-0.98
CAF,Central African Republic,-0.28,-0.9,-0.93,-0.99,-0.98,-0.07,-0.44,-0.73,-0.69,-0.66
TCD,Chad,-0.37,-0.82,-0.85,-0.78,-0.72,-0.15,-0.73,-0.77,-0.66,-0.69
CHL,Chile,-0.29,-0.59,-0.32,-0.3,-0.24,-0.1,-0.38,-0.73,-0.74,-0.74
CHN,China,-0.98,-1.0,-1.0,-0.99,-0.94,-0.37,-0.98,-0.98,-0.95,-0.93
COL,Colombia,-0.48,-0.82,-0.85,-0.78,-0.78,-0.07,-0.47,-0.67,-0.77,-0.83
COD,Congo,-0.09,-0.79,-0.97,-0.94,-0.99,-0.04,-0.51,-0.64,-0.6,-0.7
COG,Democratic Republic of the Congo,-0.05,-0.8,-0.92,-0.93,-0.96,-0.08,-0.42,-0.63,-0.68,-0.68
CRI,Costa Rica,1.09,0.95,1.12,0.22,0.81,-0.18,-0.37,-0.64,-0.71,-0.7
CIV,Cote d'Ivoire,-0.19,-0.85,-0.87,-0.88,-0.83,0.13,-0.57,-0.61,-0.75,-0.75
CUB,Cuba,-0.31,-0.69,-0.85,-0.79,-0.78,0.55,-0.45,-0.73,-0.79,-0.79
DJI,Djibouti,-0.47,-0.94,-0.93,-0.92,-0.79,-0.13,-0.55,-0.76,-0.85,-0.89
DOM,Dominican Republic,-0.1,-0.48,-0.56,-0.53,-0.42,3.79,1.65,0.28,0.25,0.48
ECU,Ecuador,-0.31,-0.81,-0.96,-0.94,-0.77,-0.04,-0.34,-0.61,-0.76,-0.84
EGY,Egypt,-0.74,-0.83,-0.82,-0.74,-0.66,-0.83,-0.91,-0.93,-0.93,-0.89
SLV,El Salvador,-0.15,-0.68,-0.93,-0.81,-0.88,0.67,-0.16,-0.66,-0.74,-0.74
ERI,Eritrea,-0.45,-0.73,-0.76,-0.76,-0.36,-0.27,-0.68,-0.8,-0.79,-0.8
SWT,Eswatini,-0.05,-0.64,-0.7,-0.82,-0.71,-0.05,-0.42,-0.55,-0.8,-0.84
ETH,Ethiopia,-0.48,-0.88,-0.9,-0.89,-0.81,-0.0,-0.65,-0.7,-0.72,-0.76
FJI,Fiji,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
GAB,Gabon,-0.05,-0.76,-0.9,-0.92,-0.93,-0.08,-0.49,-0.89,-0.81,-0.74
GMB,Gambia,-0.33,9.73,4.49,0.77,-0.22,-0.04,-0.4,-0.62,-0.62,-0.53
GEO,Georgia,-1.0,-1.0,-1.0,-0.93,-1.0,-0.17,-0.99,-0.88,-0.89,-0.92
GHA,Ghana,-0.11,-0.74,-0.78,-0.79,-0.75,-0.07,-0.65,-0.6,-0.68,-0.69
GTM,Guatemala,-0.17,-0.74,-0.83,-0.82,-0.69,0.92,-0.18,-0.66,-0.75,-0.75
GIN,Guinea,-0.13,-0.82,-0.87,-0.86,-0.83,-0.15,-0.63,-0.78,-0.79,-0.76
GNB,Guinea-Bissau,-0.06,-0.37,-0.43,-0.59,-0.53,-0.16,-0.41,-0.61,-0.57,-0.46
GUY,Guyana,-0.03,-0.47,-0.8,-0.85,-0.77,-0.07,-0.51,-0.63,-0.73,-0.77
HTI,Haiti,0.63,0.56,0.58,0.52,0.93,3.83,1.46,0.34,0.31,0.55
HND,Honduras,-0.11,-0.68,-0.91,-0.85,-0.82,0.38,-0.28,-0.68,-0.77,-0.78
IND,India,-0.31,-0.75,-0.75,-0.69,-0.63,-0.48,-0.84,-0.81,-0.85,-0.9
IDN,Indonesia,-0.13,-0.69,-0.75,-0.77,-0.71,-0.07,-0.4,-0.62,-0.71,-0.74
IRN,Iran (Islamic Republic of),-0.94,-0.99,-0.99,-0.91,-0.77,-0.0,-0.98,-0.97,-0.99,-0.98
IRQ,Iraq,-0.96,-0.9,-0.9,-0.67,-0.64,0.02,-0.95,-0.94,-0.93,-0.98
ISR,Israel,-0.91,-0.81,-0.81,-0.69,-0.69,1.31,-0.15,-0.7,-0.78,-0.81
JAM,Jamaica,0.45,-0.17,0.16,0.63,0.63,2.67,0.77,-0.06,-0.12,0.04
JPN,Japan,-1.0,-1.0,-1.0,-1.0,-0.99,-0.38,-0.88,-0.89,-0.98,-0.98
JOR,Jordan,-0.97,-0.91,-0.91,-0.79,-0.67,0.93,-0.82,-0.94,-0.77,-0.87
KAZ,Kazakhstan,-1.0,-1.0,-1.0,-1.0,-0.99,-0.17,-1.0,-0.98,-0.85,-0.77
KEN,Kenya,-0.39,-0.89,-0.88,-0.91,-0.77,0.14,-0.64,-0.76,-0.76,-0.7
KOR,Democratic People's Republic of Korea,-1.0,-1.0,-1.0,-1.0,-1.0,-0.34,-1.0,-0.94,-0.98,-1.0
PRK,Republic of Korea,-1.0,-1.0,-1.0,-1.0,-1.0,-0.52,-1.0,-0.99,-1.0,-0.94
KWT,Kuwait,-0.73,-0.61,-0.61,1.46,-0.77,-0.17,-0.72,-1.0,-1.0,-1.0
KGZ,Kyrgyzstan,-1.0,-1.0,-1.0,-1.0,-0.99,-0.1,-1.0,-0.96,-0.87,-0.69
LAO,Lao People's Democratic Republic,-0.71,-1.0,-0.99,-0.97,-0.89,-0.2,-0.68,-0.8,-0.84,-0.93
LBN,Lebanon,-0.89,-0.75,-0.75,-0.48,-0.74,1.02,-0.27,-0.71,-0.83,-0.95
LSO,Lesotho,-0.12,-0.84,-0.78,-0.73,-0.75,-0.03,-0.56,-0.41,-0.83,-0.77
LBR,Liberia,-0.17,-0.86,-0.87,-0.85,-0.79,-0.09,-0.4,-0.6,-0.67,-0.69
