iso3,country,seasonality_m1,seasonality_m2,seasonality_m3,seasonality_m4,seasonality_m5,seasonality_m6,seasonality_m7,seasonality_m8,seasonality_m9,seasonality_m10,seasonality_m11,seasonality_m12
AFG,Afghanistan,0.0,0.0,0.0,0.0,0.00121389570693644,0.00121389570693644,0.25,0.25,0.248786104293064,0.248786104293064,0.0,0.0
ALB,Albania,0.153331112964287,0.153331112964287,0.153331112964287,0.153331112964287,0.00146303386751282,0.00146303386751282,0.0966688870357127,0.0966688870357127,0.0952058531681998,0.0952058531681998,0.0,0.0
DZA,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
AGO,Angola,0.0,0.0,0.0,0.0,0.249658753922835,0.249658753922835,0.25,0.25,0.000341246077164933,0.000341246077164933,0.0,0.0
ARG,Argentina,0.169874507305104,0.0374742935781237,0.111467027745789,0.0757403283563267,0.0801254926948959,0.0801254926948959,0.00613275852723083,0.0043851643385692,0.0,0.13240021372698,0.13240021372698,0.169874507305104
ARM,Armenia,0.0925575960414894,0.0925575960414894,0.0925575960414894,0.0925575960414894,0.00157375191637082,0.00157375191637082,0.157442403958511,0.157442403958511,0.15586865204214,0.15586865204214,0.0,0.0
AUS,Australia,0.209093317159447,0.0651380611811259,0.00518226760727987,0.00547404545023806,0.00547404545023806,0.00547404545023806,0.0357244152332729,0.0354326373903147,0.0354326373903147,0.179387893368636,0.209093317159447,0.209093317159447
AZE,Azerbaijan,0.000481778954085787,0.000481778954085787,0.000481778954085787,0.000481778954085787,0.00331741376835284,0.00331741376835284,0.249518221045914,0.249518221045914,0.246200807277561,0.246200807277561,0.0,0.0
BHR,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,Bangladesh,0.0,0.0,0.0,0.0,0.241433737586787,0.241433737586787,0.25,0.25,0.00856626241321285,0.00856626241321285,0.0,0.0
BRB,Barbados,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
BLR,Belarus,0.033479826052021,0.0,0.0,0.0,0.0,0.0,0.216520173947979,0.216520173947979,0.216520173947979,0.25,0.033479826052021,0.033479826052021
BEN,Benin,0.248275645038082,0.0,0.0,0.0,0.00172435496191762,0.00172435496191762,0.00172435496191762,0.00172435496191762,0.0,0.248275645038082,0.248275645038082,0.248275645038082
BTN,Bhutan,0.24016307521299,0.0,0.0,0.0,0.0,0.0,0.00983692478701027,0.00983692478701027,0.00983692478701027,0.25,0.24016307521299,0.24016307521299
BOL,Bolivia (Plurinational State of),0.0215662875792561,0.0,0.156275474883544,0.17097872605543,0.17097872605543,0.17097872605543,0.0721582375371995,0.0574549863653137,0.0574549863653137,0.0790212739445698,0.0215662875792561,0.0215662875792561
BIH,Bosnia and Herzegovina,0.191028572403427,0.0,0.0,0.0,0.0,0.0,0.0589714275965726,0.0589714275965726,0.0589714275965726,0.25,0.191028572403427,0.191028572403427
BWA,Botswana,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
BRA,Brazil,0.127147793827691,0.000276689159721275,0.0790445982574636,0.122852206172309,0.122852206172309,0.122852206172309,0.0440842970745669,0.0,0.0,0.126871104667969,0.126871104667969,0.127147793827691
BRN,Brunei Darussalam,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,Burkina Faso,0.245732774123542,0.0,0.0,0.0,0.00426722587645772,0.00426722587645772,0.00426722587645772,0.00426722587645772,0.0,0.245732774123542,0.245732774123542,0.245732774123542
