Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","221","Almonds, with shell","2020","2020","tonnes","39307","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2020","2020","tonnes","18387","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","515","Apples","2020","2020","tonnes","270857","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","526","Apricots","2020","2020","tonnes","131788","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","44","Barley","2020","2020","tonnes","127757","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","558","Berries nes","2020","2020","tonnes","27772","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","569","Figs","2020","2020","tonnes","15994","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","512","Fruit, citrus nes","2020","2020","tonnes","3775","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","619","Fruit, fresh nes","2020","2020","tonnes","62545","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","541","Fruit, stone nes","2020","2020","tonnes","48219","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","560","Grapes","2020","2020","tonnes","993382","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","333","Linseed","2020","2020","tonnes","34216","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","56","Maize","2020","2020","tonnes","271776","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2020","2020","tonnes","793496","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","79","Millet","2020","2020","tonnes","1895","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","234","Nuts nes","2020","2020","tonnes","1456","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","260","Olives","2020","2020","tonnes","8625","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","403","Onions, dry","2020","2020","tonnes","326006","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","490","Oranges","2020","2020","tonnes","3001","","Official data"
