iso3,country,base_stocks_million_tonnes
AFG,Afghanistan,0.840295712
AGO,Angola,1.197620709
ALB,Albania,0.205357003
ARE,United Arab Emirates,0.873739886
ARG,Argentina,60.33415459
ARM,Armenia,0.237456464
AUS,Australia,13.51260103
AUT,Austria,0.993246174
AZE,Azerbaijan,0.506711346
BDI,Burundi,0.093223298
BEL,Belgium,1.287235011
BEN,Benin,0.595936667
BFA,Burkina Faso,0.699196959
BGD,Bangladesh,8.091879309
BGR,Bulgaria,0.771438739
BHR,Bahrain,0.027723399
BIH,Bosnia and Herzegovina,0.478740586
BLR,Belarus,1.165825307
BOL,Bolivia (Plurinational State of),2.502806859
BRA,Brazil,106.6995809
BRB,Barbados,0.004569227
BRN,Brunei Darussalam,0.0
BTN,Bhutan,0.01770553
BWA,Botswana,0.008389537
CAF,Central African Republic,0.028811799
CAN,Canada,14.97093018
CHE,Switzerland,0.346312615
CHL,Chile,1.541871044
CHN,China,466.0995044
CIV,Côte d'Ivoire,1.215898355
CMR,Cameroon,0.756629317
COD,Democratic Republic of the Congo,0.415850986
COG,Congo,0.038504721
COL,Colombia,3.204542466
CPV,Cape Verde,0.000843253
CRI,Costa Rica,0.593473905
CUB,Cuba,0.594484109
CYP,Cyprus,0.13458824
CZE,Czechia,1.191745031
DEU,Germany,9.272302663
DJI,Djibouti,0.072234856
DNK,Denmark,0.649632623
DOM,Dominican Republic,0.828356521
DZA,Algeria,5.371571987
ECU,Ecuador,1.270762993
EGY,Egypt,9.352714563
ERI,Eritrea,0.020646552
ESP,Spain,5.27450561
EST,Estonia,0.148122253
ETH,Ethiopia,5.199448537
FIN,Finland,0.61579759
FJI,Fiji,0.049927788
FRA,France,7.50686586
GAB,Gabon,0.009241133
GBR,United Kingdom of Great Britain and Northern Ireland,7.486564841
GEO,Georgia,0.125994763
GHA,Ghana,1.435745326
GIN,Guinea,0.948633237
GMB,Gambia,0.046205665
GNB,Guinea-Bissau,0.034909663
GRC,Greece,1.19324881
GTM,Guatemala,1.546203081
GUY,Guyana,0.390427442
HND,Honduras,0.696126208
HRV,Croatia,0.451133766
HTI,Haiti,0.142918679
HUN,Hungary,1.085728596
IDN,Indonesia,31.23640069
IND,India,101.5229503
IRL,Ireland,0.556398311
IRN,Iran (Islamic Republic of),8.417303337
IRQ,Iraq,2.437081867
ISR,Israel,0.985455237
ITA,Italy,6.633922024
JAM,Jamaica,0.041040513
JOR,Jordan,0.8021384
JPN,Japan,6.557437141
KAZ,Kazakhstan,4.861488462
KEN,Kenya,1.318002799
KGZ,Kyrgyzstan,0.332078126
KHM,Cambodia,3.22730511
KOR,Democratic People's Republic of Korea,0.921405169
KWT,Kuwait,0.009780969
LAO,Lao People's Democratic Republic,1.095086295
LBN,Lebanon,0.188892449
LBR,Liberia,0.108615914
LBY,Libya,0.422905051
LKA,Sri Lanka,1.488741395
LSO,Lesotho,0.012543811
LTU,Lithuania,0.311282298
LUX,Luxembourg,0.070677623
LVA,Latvia,0.21203287
MAR,Morocco,1.951161434
MDA,Moldova,0.639178367
MDG,Madagascar,0.372265503
MEX,Mexico,13.18300748
MKD,North Macedonia,0.12117025
MLI,Mali,1.525561888
MLT,Malta,0.05864739
MMR,Myanmar,6.910064498
MNG,Mongolia,0.019276554
MOZ,Mozambique,0.701508943
MRT,Mauritania,0.211114967
MUS,Mauritius,0.090876019
MWI,Malawi,0.633315863
MYS,Malaysia,5.764660522
NAM,Namibia,0.04179681
NER,Niger,0.016849666
NGA,Nigeria,6.670902404
NIC,Nicaragua,0.503907111
NLD,Netherlands,1.942882751
NOR,Norway,0.404187457
NPL,Nepal,1.587990747
NZL,New Zealand,0.533714289
OMN,Oman,0.387289724
PAK,Pakistan,12.08745268
PAN,Panama,0.235257299
PER,Peru,1.952260616
PHL,Philippines,6.832830766
PNG,Papua New Guinea,0.092881601
POL,Poland,4.227123384
PRK,Republic of Korea,5.680121514
PRT,Portugal,1.148135434
PRY,Paraguay,4.695068812
QAT,Qatar,0.0
ROU,Romania,2.148148614
RUS,Russian Federation,22.13686118
RWA,Rwanda,0.272469031
SAU,Saudi Arabia,4.228145132
SDN,Sudan,0.727299662
SEN,Senegal,0.975712965
SGP,Singapore,0.100023714
SLE,Sierra Leone,0.20273249
SLV,El Salvador,0.766827806
SOM,Somalia,0.136983753
SRB,Serbia,3.270400139
SSD,South Sudan,0.036041061
SUR,Suriname,0.069712958
SVK,Slovakia,0.608278694
SVN,Slovenia,0.233837669
SWE,Sweden,1.153398661
SWT,Swaziland,0.144469713
SYR,Syrian Arab Republic,1.509232324
TCD,Chad,0.15158192
TGO,Togo,0.209316
THA,Thailand,20.08718923
TJK,Tajikistan,0.385283468
TKM,Turkmenistan,0.352802522
TTO,Trinidad and Tobago,0.028831469
TUN,Tunisia,0.920774879
TUR,Turkey,6.779758843
TWN,Taiwan,1.729908238
TZA,United Republic of Tanzania,2.020332535
UGA,Uganda,1.01878226
UKR,Ukraine,16.54447168
URY,Uruguay,2.01614813
USA,United States of America,158.0156737
UZB,Uzbekistan,1.626403088
VEN,Venezuela (Bolivarian Republic of),0.896010503
VNM,Viet Nam,16.13948387
YEM,Yemen,0.547885567
ZAF,South Africa,4.487942132
ZMB,Zambia,1.073342712
ZWE,Zimbabwe,0.573001234
