Wheat production ,,,,,,,,🌱,Global equipment-sharing scenario,,,,,,,🌱,No-trade scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌱,,Export pool scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌱,Comparison of carbohydrates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,🌱,,,,,,,,🌱,,Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,,,,,,,,,,,,,,,,,,,,,,,🌱,,,Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,,,,,,,,,,,,,,,,,,,,,,,🌱,,,,,,,Step,,,,,,Formula,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,🌱,Annual production (kg per ha),,1.77E+03,,,,,🌱,Monthly wheat production (kg),Africa ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.09E+09,8.04E+09,7.53E+09,7.28E+09,7.07E+09,5.78E+09,5.06E+09,4.89E+09,4.79E+09,4.67E+09,4.37E+09,4.17E+09,1.20E+10,1.17E+10,1.10E+10,1.07E+10,1.05E+10,9.20E+09,8.45E+09,8.21E+09,8.08E+09,7.88E+09,7.58E+09,7.37E+09,1.52E+10,1.49E+10,1.42E+10,1.39E+10,1.36E+10,1.23E+10,1.16E+10,1.13E+10,1.12E+10,1.09E+10,1.06E+10,1.03E+10,1.81E+10,1.77E+10,1.69E+10,1.66E+10,1.63E+10,1.51E+10,1.43E+10,1.40E+10,1.38E+10,1.35E+10,1.32E+10,1.29E+10,2.06E+10,2.02E+10,1.94E+10,1.91E+10,1.88E+10,1.75E+10,1.66E+10,1.63E+10,1.61E+10,1.58E+10,1.54E+10,1.52E+10,2.28E+10,2.23E+10,2.15E+10,2.11E+10,2.04E+10,1.91E+10,1.82E+10,1.79E+10,1.77E+10,1.74E+10,1.70E+10,1.67E+10,2.44E+10,2.39E+10,2.30E+10,,,,,,,,,,,,,,,,,,,,,,,🌱,,Monthly,Africa ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.28E+10,4.81E+10,4.39E+10,4.18E+10,4.09E+10,3.95E+10,3.24E+10,1.79E+10,8.86E+09,4.50E+09,2.48E+09,6.97E+08,5.34E+10,4.86E+10,4.41E+10,4.20E+10,4.12E+10,3.98E+10,3.27E+10,1.81E+10,9.07E+09,4.71E+09,2.69E+09,9.07E+08,5.37E+10,4.88E+10,4.43E+10,4.22E+10,4.13E+10,3.99E+10,3.28E+10,1.82E+10,9.19E+09,4.79E+09,2.74E+09,9.23E+08,5.37E+10,4.88E+10,4.43E+10,4.22E+10,4.13E+10,3.99E+10,3.28E+10,1.82E+10,9.19E+09,4.79E+09,2.74E+09,9.23E+08,5.37E+10,4.88E+10,4.43E+10,4.22E+10,4.13E+10,3.99E+10,3.28E+10,1.82E+10,9.19E+09,4.79E+09,2.74E+09,9.23E+08,5.37E+10,4.88E+10,4.43E+10,4.22E+10,4.13E+10,3.99E+10,3.28E+10,1.82E+10,9.19E+09,4.79E+09,2.74E+09,9.23E+08,5.37E+10,4.88E+10,4.43E+10,,,,,,,,,,,,,,,,,,,,,,,🌱,,,,,,,1. Calculate how much wheat is produced monthly in dry carbodydrate equivalents (DCE) :,,,,,,Wheat produced monthly (kg DCE) = Wherat produced monthly (kg) * DC fraction in grain (kg DCE/kg),,,,,,,,,,,,,,,,,,,,,
Description of what happens,,,,,,,,🌱,,,,,,Annual wheat production (kg),,🌱,,America,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.89E+10,3.44E+10,3.12E+10,2.54E+10,2.32E+10,2.00E+10,1.93E+10,1.62E+10,1.56E+10,1.51E+10,1.47E+10,1.34E+10,5.15E+10,4.69E+10,4.37E+10,3.70E+10,3.40E+10,3.06E+10,2.96E+10,2.65E+10,2.19E+10,2.08E+10,2.04E+10,1.78E+10,5.47E+10,5.02E+10,4.51E+10,3.76E+10,3.46E+10,3.12E+10,3.03E+10,2.71E+10,2.25E+10,2.14E+10,2.09E+10,1.83E+10,5.52E+10,5.07E+10,4.56E+10,3.81E+10,3.51E+10,3.18E+10,3.08E+10,2.76E+10,2.30E+10,2.19E+10,2.14E+10,1.88E+10,5.57E+10,5.12E+10,4.61E+10,3.85E+10,3.55E+10,3.21E+10,3.11E+10,2.80E+10,2.34E+10,2.23E+10,2.18E+10,1.92E+10,5.61E+10,5.16E+10,4.65E+10,3.89E+10,3.58E+10,3.25E+10,3.15E+10,2.84E+10,2.38E+10,2.27E+10,2.22E+10,1.95E+10,5.64E+10,5.19E+10,4.68E+10,,,,,,,,,,,,,,,,,,,,,,,🌱,,,America,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.78E+10,4.24E+10,3.78E+10,3.20E+10,2.98E+10,2.60E+10,2.29E+10,1.86E+10,1.65E+10,1.56E+10,1.52E+10,1.39E+10,6.00E+10,5.43E+10,4.97E+10,4.30E+10,4.00E+10,3.61E+10,3.26E+10,2.83E+10,2.22E+10,2.07E+10,2.03E+10,1.76E+10,6.27E+10,5.70E+10,5.05E+10,4.30E+10,4.00E+10,3.61E+10,3.26E+10,2.83E+10,2.22E+10,2.07E+10,2.03E+10,1.76E+10,6.27E+10,5.70E+10,5.05E+10,4.30E+10,4.00E+10,3.61E+10,3.26E+10,2.83E+10,2.22E+10,2.07E+10,2.03E+10,1.76E+10,6.27E+10,5.70E+10,5.05E+10,4.30E+10,4.00E+10,3.61E+10,3.26E+10,2.83E+10,2.22E+10,2.07E+10,2.03E+10,1.76E+10,6.27E+10,5.70E+10,5.05E+10,4.30E+10,4.00E+10,3.61E+10,3.26E+10,2.83E+10,2.22E+10,2.07E+10,2.03E+10,1.76E+10,6.27E+10,5.70E+10,5.05E+10,,,,,,,,,,,,,,,,,,,,,,,🌱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,🌱,Number of the cycle,Months,Average production per cycle,,Year,Total,In DCE,🌱,,Asia,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E+10,5.75E+09,2.19E+09,6.57E+08,5.67E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,,,,,,,,,,,,,,,,,,,,,,,🌱,,,Asia,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E+10,5.75E+09,2.19E+09,6.57E+08,5.67E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,6.82E+08,5.76E+08,5.01E+08,3.80E+08,2.84E+08,2.13E+08,2.08E+08,9.99E+07,9.91E+07,2.87E+10,5.79E+09,2.22E+09,,,,,,,,,,,,,,,,,,,,,,,🌱,,,,,,,2. Calculate how many calories there are in the wheat produced monthly:,,,,,,Calories in wheat = Wheat prouced monthly (kg DCE) * Calories in winter wheat (kcal/kg),,,,,,,,,,,,,,,,,,,,,
"For a given area of land that is cleared in a month, we assumed a:",,,,,,,,🌱,1,10 - 21,7.60E+10,,1,9.11E+11,6.47E+11,🌱,,Europe,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,,,,Wheat output (kg),,,,,,,,,,,,,,,,,,,🌱,,,Europe,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+09,7.98E+07,0.00E+00,,,,Wheat output (kg),,,,,,,,,,,,,,,,,,,🌱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- 8-month planting period,,,,,,,,🌱,2,22 - 33,7.60E+10,,2,9.11E+11,6.47E+11,🌱,,Oceania,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E+09,9.02E+09,9.02E+09,9.02E+09,9.02E+09,8.94E+09,8.93E+09,8.93E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,,,,0,1,2,3,4,5,6,7,,,,,,,,,,,,🌱,,,Oceania,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E+09,9.02E+09,9.02E+09,9.02E+09,9.02E+09,8.94E+09,8.93E+09,8.93E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,9.43E+09,9.43E+09,9.07E+09,8.98E+09,8.96E+09,8.93E+09,8.90E+09,6.43E+09,1.91E+09,9.79E+09,9.43E+09,9.43E+09,,,,0,1,2,3,4,5,6,7,,,,,,,,,,,,🌱,,,,,,,3. Calculate how many people can be fed with the amount of wheat produced monthly:,,,,,,Population fed = Calories in wheat (kcal) * Global population / Global average calorie intake (kcal/month),,,,,,,,,,,,,,,,,,,,,
- harvest on the 9th month,,,,,,,,🌱,3,34 - 45,7.60E+10,,3,9.11E+11,6.47E+11,🌱,,World,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.55E+10,5.73E+10,4.99E+10,4.24E+10,3.98E+10,3.52E+10,3.36E+10,3.03E+10,2.95E+10,2.89E+10,2.56E+10,1.96E+10,1.03E+11,7.40E+10,6.63E+10,5.78E+10,5.45E+10,4.94E+10,4.75E+10,4.40E+10,3.91E+10,3.78E+10,3.45E+10,2.72E+10,1.10E+11,8.04E+10,7.09E+10,6.16E+10,5.82E+10,5.32E+10,5.12E+10,4.77E+10,4.28E+10,4.14E+10,3.80E+10,3.07E+10,1.13E+11,8.37E+10,7.42E+10,6.48E+10,6.14E+10,5.64E+10,5.44E+10,5.08E+10,4.59E+10,4.45E+10,4.11E+10,3.37E+10,1.16E+11,8.67E+10,7.71E+10,6.77E+10,6.43E+10,5.92E+10,5.71E+10,5.35E+10,4.86E+10,4.72E+10,4.38E+10,3.64E+10,1.19E+11,8.92E+10,7.96E+10,7.01E+10,6.63E+10,6.12E+10,5.91E+10,5.55E+10,5.06E+10,4.92E+10,4.57E+10,3.83E+10,1.20E+11,9.11E+10,8.14E+10,,,Africa ,0.00,2.37E+10,8.29E+10,1.22E+11,1.58E+11,1.90E+11,2.17E+11,2.37E+11,,,,,,,,,,,,🌱,,,World,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+11,1.05E+11,9.29E+10,8.35E+10,8.03E+10,7.50E+10,6.46E+10,4.57E+10,3.45E+10,2.92E+10,2.42E+10,1.66E+10,1.53E+11,1.18E+11,1.05E+11,9.51E+10,9.11E+10,8.54E+10,7.47E+10,5.57E+10,4.04E+10,3.45E+10,2.95E+10,2.06E+10,1.56E+11,1.21E+11,1.06E+11,9.53E+10,9.13E+10,8.56E+10,7.48E+10,5.58E+10,4.05E+10,3.46E+10,2.96E+10,2.06E+10,1.56E+11,1.21E+11,1.06E+11,9.53E+10,9.13E+10,8.56E+10,7.48E+10,5.58E+10,4.05E+10,3.46E+10,2.96E+10,2.06E+10,1.56E+11,1.21E+11,1.06E+11,9.53E+10,9.13E+10,8.56E+10,7.48E+10,5.58E+10,4.05E+10,3.46E+10,2.96E+10,2.06E+10,1.56E+11,1.21E+11,1.06E+11,9.53E+10,9.13E+10,8.56E+10,7.48E+10,5.58E+10,4.05E+10,3.46E+10,2.96E+10,2.06E+10,1.56E+11,1.21E+11,1.06E+11,,,Africa ,0.00,1.45E+11,3.35E+11,3.38E+11,3.39E+11,3.39E+11,3.39E+11,3.39E+11,,,,,,,,,,,,🌱,Calories in winter wheat (kcal/kg),,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- 3-month resting period,,,,,,,,🌱,4,46 - 57,7.60E+10,,4,9.11E+11,6.47E+11,🌱,Cumulative wheat production (kg),Africa ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.09E+09,1.61E+10,2.37E+10,3.09E+10,3.80E+10,4.38E+10,4.89E+10,5.38E+10,5.85E+10,6.32E+10,6.76E+10,7.18E+10,8.38E+10,9.55E+10,1.07E+11,1.17E+11,1.28E+11,1.37E+11,1.45E+11,1.54E+11,1.62E+11,1.70E+11,1.77E+11,1.85E+11,2.00E+11,2.15E+11,2.29E+11,2.43E+11,2.56E+11,2.69E+11,2.80E+11,2.92E+11,3.03E+11,3.14E+11,3.24E+11,3.35E+11,3.53E+11,3.70E+11,3.87E+11,4.04E+11,4.20E+11,4.35E+11,4.50E+11,4.64E+11,4.77E+11,4.91E+11,5.04E+11,5.17E+11,5.38E+11,5.58E+11,5.77E+11,5.96E+11,6.15E+11,6.33E+11,6.49E+11,6.66E+11,6.82E+11,6.97E+11,7.13E+11,7.28E+11,7.51E+11,7.73E+11,7.95E+11,8.16E+11,8.36E+11,8.55E+11,8.73E+11,8.91E+11,9.09E+11,9.26E+11,9.43E+11,9.60E+11,9.84E+11,1.01E+12,1.03E+12,,,America,0.00,1.04E+11,3.05E+11,3.89E+11,3.96E+11,4.01E+11,4.06E+11,4.10E+11,,,,,,,,,,,,🌱,,Cumulative,Africa ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.28E+10,1.01E+11,1.45E+11,1.87E+11,2.27E+11,2.67E+11,2.99E+11,3.17E+11,3.26E+11,3.31E+11,3.33E+11,3.34E+11,3.87E+11,4.36E+11,4.80E+11,5.22E+11,5.63E+11,6.03E+11,6.36E+11,6.54E+11,6.63E+11,6.68E+11,6.70E+11,6.71E+11,7.25E+11,7.74E+11,8.18E+11,8.60E+11,9.01E+11,9.41E+11,9.74E+11,9.92E+11,1.00E+12,1.01E+12,1.01E+12,1.01E+12,1.06E+12,1.11E+12,1.16E+12,1.20E+12,1.24E+12,1.28E+12,1.31E+12,1.33E+12,1.34E+12,1.35E+12,1.35E+12,1.35E+12,1.40E+12,1.45E+12,1.50E+12,1.54E+12,1.58E+12,1.62E+12,1.65E+12,1.67E+12,1.68E+12,1.68E+12,1.69E+12,1.69E+12,1.74E+12,1.79E+12,1.83E+12,1.88E+12,1.92E+12,1.96E+12,1.99E+12,2.01E+12,2.02E+12,2.02E+12,2.03E+12,2.03E+12,2.08E+12,2.13E+12,2.17E+12,,,America,0.00,1.28E+11,3.54E+11,4.31E+11,4.31E+11,4.31E+11,4.31E+11,4.31E+11,,,,,,,,,,,,🌱,DC fraction in grain (m/m),,,,71%,,4. Calculate the percent of people fed per month:,,,,,,%Population fed = Population fed / Global population,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,🌱,5,58 - 69,7.60E+10,,5,9.11E+11,6.47E+11,🌱,,America,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.89E+10,7.33E+10,1.04E+11,1.30E+11,1.53E+11,1.73E+11,1.92E+11,2.08E+11,2.24E+11,2.39E+11,2.54E+11,2.67E+11,3.19E+11,3.66E+11,4.09E+11,4.46E+11,4.80E+11,5.11E+11,5.41E+11,5.67E+11,5.89E+11,6.10E+11,6.30E+11,6.48E+11,7.03E+11,7.53E+11,7.98E+11,8.36E+11,8.70E+11,9.01E+11,9.32E+11,9.59E+11,9.81E+11,1.00E+12,1.02E+12,1.04E+12,1.10E+12,1.15E+12,1.19E+12,1.23E+12,1.27E+12,1.30E+12,1.33E+12,1.36E+12,1.38E+12,1.40E+12,1.42E+12,1.44E+12,1.50E+12,1.55E+12,1.60E+12,1.63E+12,1.67E+12,1.70E+12,1.73E+12,1.76E+12,1.78E+12,1.81E+12,1.83E+12,1.85E+12,1.90E+12,1.95E+12,2.00E+12,2.04E+12,2.08E+12,2.11E+12,2.14E+12,2.17E+12,2.19E+12,2.21E+12,2.24E+12,2.26E+12,2.31E+12,2.36E+12,2.41E+12,,,Asia,0.00,3.66E+10,3.97E+10,3.97E+10,3.97E+10,3.97E+10,3.97E+10,3.97E+10,,,,,,,,,,,,🌱,,,America,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.78E+10,9.02E+10,1.28E+11,1.60E+11,1.90E+11,2.16E+11,2.39E+11,2.57E+11,2.74E+11,2.89E+11,3.05E+11,3.18E+11,3.78E+11,4.33E+11,4.82E+11,5.25E+11,5.65E+11,6.01E+11,6.34E+11,6.62E+11,6.85E+11,7.05E+11,7.26E+11,7.43E+11,8.06E+11,8.63E+11,9.13E+11,9.56E+11,9.96E+11,1.03E+12,1.06E+12,1.09E+12,1.12E+12,1.14E+12,1.16E+12,1.17E+12,1.24E+12,1.29E+12,1.34E+12,1.39E+12,1.43E+12,1.46E+12,1.50E+12,1.52E+12,1.55E+12,1.57E+12,1.59E+12,1.60E+12,1.67E+12,1.72E+12,1.78E+12,1.82E+12,1.86E+12,1.89E+12,1.93E+12,1.96E+12,1.98E+12,2.00E+12,2.02E+12,2.04E+12,2.10E+12,2.16E+12,2.21E+12,2.25E+12,2.29E+12,2.32E+12,2.36E+12,2.39E+12,2.41E+12,2.43E+12,2.45E+12,2.47E+12,2.53E+12,2.59E+12,2.64E+12,,,Asia,0.00,3.66E+10,3.97E+10,3.97E+10,3.97E+10,3.97E+10,3.97E+10,3.97E+10,,,,,,,,,,,,🌱,Total population,,,,7.74E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After the resting period, that area is planted again and the cycle begins again.",,,,,,,,🌱,6,70 - 81,7.60E+10,,6,9.11E+11,6.47E+11,🌱,,Asia,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E+10,3.44E+10,3.66E+10,3.72E+10,3.78E+10,3.83E+10,3.87E+10,3.89E+10,3.92E+10,3.94E+10,3.95E+10,3.96E+10,6.83E+10,7.40E+10,7.63E+10,7.70E+10,7.75E+10,7.80E+10,7.84E+10,7.87E+10,7.89E+10,7.91E+10,7.92E+10,7.93E+10,1.08E+11,1.14E+11,1.16E+11,1.17E+11,1.17E+11,1.18E+11,1.18E+11,1.18E+11,1.19E+11,1.19E+11,1.19E+11,1.19E+11,1.48E+11,1.54E+11,1.56E+11,1.56E+11,1.57E+11,1.58E+11,1.58E+11,1.58E+11,1.58E+11,1.59E+11,1.59E+11,1.59E+11,1.88E+11,1.93E+11,1.96E+11,1.96E+11,1.97E+11,1.97E+11,1.98E+11,1.98E+11,1.98E+11,1.98E+11,1.98E+11,1.99E+11,2.27E+11,2.33E+11,2.35E+11,2.36E+11,2.37E+11,2.37E+11,2.37E+11,2.38E+11,2.38E+11,2.38E+11,2.38E+11,2.38E+11,2.67E+11,2.73E+11,2.75E+11,,,Europe,0.00,1.24E+09,1.24E+09,1.24E+09,1.24E+09,1.24E+09,1.24E+09,1.24E+09,,,,,,,,,,,,🌱,,,Asia,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E+10,3.44E+10,3.66E+10,3.72E+10,3.78E+10,3.83E+10,3.87E+10,3.89E+10,3.92E+10,3.94E+10,3.95E+10,3.96E+10,6.83E+10,7.40E+10,7.63E+10,7.70E+10,7.75E+10,7.80E+10,7.84E+10,7.87E+10,7.89E+10,7.91E+10,7.92E+10,7.93E+10,1.08E+11,1.14E+11,1.16E+11,1.17E+11,1.17E+11,1.18E+11,1.18E+11,1.18E+11,1.19E+11,1.19E+11,1.19E+11,1.19E+11,1.48E+11,1.54E+11,1.56E+11,1.56E+11,1.57E+11,1.58E+11,1.58E+11,1.58E+11,1.58E+11,1.59E+11,1.59E+11,1.59E+11,1.88E+11,1.93E+11,1.96E+11,1.96E+11,1.97E+11,1.97E+11,1.98E+11,1.98E+11,1.98E+11,1.98E+11,1.98E+11,1.99E+11,2.27E+11,2.33E+11,2.35E+11,2.36E+11,2.37E+11,2.37E+11,2.37E+11,2.38E+11,2.38E+11,2.38E+11,2.38E+11,2.38E+11,2.67E+11,2.73E+11,2.75E+11,,,Europe,0.00,1.24E+09,1.24E+09,1.24E+09,1.24E+09,1.24E+09,1.24E+09,1.24E+09,,,,,,,,,,,,🌱,Average daily calorie intake per capita (kcal),,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
