Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02132","Asses","2019","2019","Head","1563683","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02121.01","Camels","2019","2019","Head","170215","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02111","Cattle","2019","2019","Head","5122956","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5112","Stocks","02151","Chickens","2019","2019","1000 Head","13735","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02123","Goats","2019","2019","Head","7921542","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02131","Horses","2019","2019","Head","100478","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02133","Mules and hinnies","2019","2019","Head","24141","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2019","2019","Head","13526978","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02132","Asses","2019","2019","Head","55000","T","Unofficial figure"
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2019","2019","No","288329","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02112","Buffalo","2019","2019","Head","94","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02111","Cattle","2019","2019","Head","415609","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02151","Chickens","2019","2019","1000 Head","7090","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02154","Ducks","2019","2019","1000 Head","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02153","Geese","2019","2019","1000 Head","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02123","Goats","2019","2019","Head","862865","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02131","Horses","2019","2019","Head","31649","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02133","Mules and hinnies","2019","2019","Head","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2019","2019","Head","1758333","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02140","Swine / pigs","2019","2019","Head","183847","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02152","Turkeys","2019","2019","1000 Head","404","A","Official figure"
