Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,4,Afghanistan,5318,Milk Animals,2291,Raw milk of sheep,2020,2020,Head,7036877,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21155,"Edible offal of sheep, fresh, chilled or frozen",2020,2020,Head,6918980,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21115,"Meat of sheep, fresh or chilled",2020,2020,Head,6918980,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,2953,Raw hides and skins of sheep or lambs,2020,2020,Head,6918980,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21514,"Sheep fat, unrendered",2020,2020,Head,6918980,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21156,"Edible offal of goat, fresh, chilled or frozen",2020,2020,Head,3578963,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21515,"Goat fat, unrendered",2020,2020,Head,3578963,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21116,"Meat of goat, fresh or chilled",2020,2020,Head,3578963,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,2954,Raw hides and skins of goats or kids,2020,2020,Head,3578963,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5318,Milk Animals,2211,Raw milk of cattle,2020,2020,Head,3447771,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5318,Milk Animals,2292,Raw milk of goats,2020,2020,Head,2739703,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21512,"Cattle fat, unrendered",2020,2020,Head,644498,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21151,"Edible offal of cattle, fresh, chilled or frozen",2020,2020,Head,644498,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,Head,644498,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,2951.01,Raw hides and skins of cattle,2020,2020,Head,644498,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2020,2020,1000 Head,34923,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5318,Milk Animals,2293,Raw milk of camel,2020,2020,Head,21922,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21159.02,"Edible offals of camels and other camelids, fresh, chilled or frozen",2020,2020,Head,20323,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21519.02,Fat of camels,2020,2020,Head,20323,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5320,Producing Animals/Slaughtered,21117.01,"Meat of camels, fresh or chilled",2020,2020,Head,20323,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5313,Laying,231,"Hen eggs in shell, fresh",2020,2020,1000 Head,10426,I,Imputed value
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21155,"Edible offal of sheep, fresh, chilled or frozen",2020,2020,Head,1219264,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21115,"Meat of sheep, fresh or chilled",2020,2020,Head,1219264,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,2953,Raw hides and skins of sheep or lambs,2020,2020,Head,1219264,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21514,"Sheep fat, unrendered",2020,2020,Head,1219264,A,Official figure
QCL,Crops and livestock products,8,Albania,5318,Milk Animals,2291,Raw milk of sheep,2020,2020,Head,1150824,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21156,"Edible offal of goat, fresh, chilled or frozen",2020,2020,Head,748414,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21515,"Goat fat, unrendered",2020,2020,Head,748414,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21116,"Meat of goat, fresh or chilled",2020,2020,Head,748414,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,2954,Raw hides and skins of goats or kids,2020,2020,Head,748414,A,Official figure
QCL,Crops and livestock products,8,Albania,5318,Milk Animals,2292,Raw milk of goats,2020,2020,Head,638228,A,Official figure
QCL,Crops and livestock products,8,Albania,5318,Milk Animals,2211,Raw milk of cattle,2020,2020,Head,296311,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21512,"Cattle fat, unrendered",2020,2020,Head,283437,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21151,"Edible offal of cattle, fresh, chilled or frozen",2020,2020,Head,283437,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,Head,283437,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,2951.01,Raw hides and skins of cattle,2020,2020,Head,283437,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21153,"Edible offal of pigs, fresh, chilled or frozen",2020,2020,Head,182046,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21511.01,Fat of pigs,2020,2020,Head,182046,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,Head,182046,A,Official figure
QCL,Crops and livestock products,8,Albania,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2020,2020,1000 Head,10785,A,Official figure
QCL,Crops and livestock products,8,Albania,5313,Laying,231,"Hen eggs in shell, fresh",2020,2020,1000 Head,5006,A,Official figure
QCL,Crops and livestock products,8,Albania,5321,Producing Animals/Slaughtered,21124,"Meat of turkeys, fresh or chilled",2020,2020,1000 Head,211,A,Official figure
QCL,Crops and livestock products,8,Albania,5318,Milk Animals,2212,Raw milk of buffalo,2020,2020,Head,30,I,Imputed value
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21159.01,"Edible offals of horses and other equines,  fresh, chilled or frozen",2020,2020,Head,0,A,Official figure
QCL,Crops and livestock products,8,Albania,5320,Producing Animals/Slaughtered,21118.01,"Horse meat, fresh or chilled",2020,2020,Head,0,A,Official figure
QCL,Crops and livestock products,12,Algeria,5318,Milk Animals,2291,Raw milk of sheep,2020,2020,Head,19265036,A,Official figure
QCL,Crops and livestock products,12,Algeria,5320,Producing Animals/Slaughtered,21155,"Edible offal of sheep, fresh, chilled or frozen",2020,2020,Head,17883627,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5320,Producing Animals/Slaughtered,21115,"Meat of sheep, fresh or chilled",2020,2020,Head,17883627,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5320,Producing Animals/Slaughtered,2953,Raw hides and skins of sheep or lambs,2020,2020,Head,17883627,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5320,Producing Animals/Slaughtered,21514,"Sheep fat, unrendered",2020,2020,Head,17883627,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5318,Milk Animals,2292,Raw milk of goats,2020,2020,Head,2835109,A,Official figure
QCL,Crops and livestock products,12,Algeria,5320,Producing Animals/Slaughtered,21156,"Edible offal of goat, fresh, chilled or frozen",2020,2020,Head,1849458,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5320,Producing Animals/Slaughtered,21515,"Goat fat, unrendered",2020,2020,Head,1849458,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5320,Producing Animals/Slaughtered,21116,"Meat of goat, fresh or chilled",2020,2020,Head,1849458,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5320,Producing Animals/Slaughtered,2954,Raw hides and skins of goats or kids,2020,2020,Head,1849458,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5318,Milk Animals,2211,Raw milk of cattle,2020,2020,Head,908409,A,Official figure
