,iso3,country,small_animal_slaughter,medium_animal_slaughter,large_animal_slaughter,chicken_slaughter,rabbit_slaughter,pig_slaughter,goat_slaughter,sheep_slaughter,camelids_slaughter,cattle_slaughter,camel_slaughter,buffalo_slaughter
0,AFG,Afghanistan,34923000.0,10497943.0,664821.0,34923000.0,0.0,0.0,3578963.0,6918980.0,0.0,644498.0,20323.0,0.0
1,ALB,Albania,10785000.0,2149724.0,283437.0,10785000.0,0.0,182046.0,748414.0,1219264.0,0.0,283437.0,0.0,0.0
2,DZA,Algeria,268886000.0,19735833.0,693357.0,260269000.0,8617000.0,2748.0,1849458.0,17883627.0,0.0,647299.0,46058.0,0.0
3,AGO,Angola,58018000.0,3725345.0,634422.0,58018000.0,0.0,2068319.0,1362634.0,294392.0,0.0,634422.0,0.0,0.0
4,ATG,Antigua and Barbuda,13000.0,1677.0,418.0,13000.0,0.0,1205.0,198.0,274.0,0.0,418.0,0.0,0.0
5,ARG,Argentina,758215000.0,11196594.0,13991415.0,757488000.0,727000.0,7006091.0,1109452.0,3081051.0,0.0,13991415.0,0.0,0.0
6,ARM,Armenia,11741000.0,888189.0,550856.0,11741000.0,0.0,225243.0,2346.0,660600.0,0.0,550856.0,0.0,0.0
7,AUS,Australia,658261000.0,35523293.0,8695800.0,658261000.0,0.0,5167300.0,1818893.0,28537100.0,0.0,8695800.0,0.0,0.0
8,AUT,Austria,97991000.0,5414460.0,644650.0,97991000.0,0.0,5068160.0,53300.0,293000.0,0.0,644650.0,0.0,0.0
9,AZE,Azerbaijan,97760000.0,5971484.0,1279495.0,97760000.0,0.0,9312.0,0.0,5962172.0,0.0,1279495.0,0.0,0.0
10,BHS,Bahamas,5300000.0,15576.0,110.0,5300000.0,0.0,7195.0,6254.0,2127.0,0.0,110.0,0.0,0.0
11,BHR,Bahrain,10175000.0,1555934.0,7539.0,10175000.0,0.0,0.0,15200.0,1540734.0,0.0,7110.0,429.0,0.0
12,BGD,Bangladesh,301034000.0,32485834.0,2790268.0,301034000.0,0.0,0.0,31759650.0,726184.0,0.0,2705632.0,0.0,84636.0
13,BRB,Barbados,9645000.0,39732.0,854.0,9645000.0,0.0,34686.0,2138.0,2908.0,0.0,854.0,0.0,0.0
14,BLR,Belarus,443226000.0,5159103.0,1483806.0,442730000.0,496000.0,5081552.0,0.0,77551.0,0.0,1483806.0,0.0,0.0
15,BEL,Belgium,297295000.0,11290080.0,782650.0,297295000.0,0.0,11151060.0,16300.0,122720.0,0.0,782650.0,0.0,0.0
16,BLZ,Belize,10721000.0,39143.0,7733.0,10721000.0,0.0,37701.0,79.0,1363.0,0.0,7733.0,0.0,0.0
17,BEN,Benin,28196000.0,1200984.0,206684.0,28196000.0,0.0,236230.0,617849.0,346905.0,0.0,206684.0,0.0,0.0
18,BTN,Bhutan,1749000.0,46909.0,37951.0,1749000.0,0.0,21005.0,19867.0,6037.0,0.0,37863.0,0.0,88.0
19,BOL,Bolivia (Plurinational State of),174351000.0,4091666.0,1393190.0,174073000.0,278000.0,1920427.0,304184.0,1508687.0,358368.0,1393190.0,0.0,0.0
20,BIH,Bosnia and Herzegovina,41453000.0,160340.0,56597.0,41453000.0,0.0,100213.0,0.0,60127.0,0.0,56597.0,0.0,0.0
21,BWA,Botswana,4928000.0,479664.0,170000.0,4339000.0,589000.0,8642.0,367092.0,103930.0,0.0,170000.0,0.0,0.0
22,BRA,Brazil,6007279000.0,59070719.0,29887036.0,6006415000.0,864000.0,49356207.0,3324958.0,6389554.0,0.0,29887036.0,0.0,0.0
