CountryName,Value,alpha3
Pacific Islands Trust Territory,2.96,unk_Pacific Islands Trust Territory
Yugoslav SFR,6346.0,unk_Yugoslav SFR
USSR,326500.0,unk_USSR
Czechoslovakia,1703.0,unk_Czechoslovakia
Ethiopia PDR,44800.0,unk_Ethiopia PDR
Belgium-Luxembourg,628.0,unk_Belgium-Luxembourg
Japan,428.0,JPN
Serbia and Montenegro,1768.0,unk_Serbia and Montenegro
Sudan (former),117227.0,unk_Sudan (former)
Burkina Faso,6000.0,BFA
Senegal,5600.0,SEN
Saint Kitts and Nevis,0.9,KNA
Saint Vincent and the Grenadines,2.0,VCT
Zambia,20000.0,ZMB
Russian Federation,92052.0,RUS
Saint Lucia,0.6,LCA
Fiji,175.0,FJI
British Virgin Islands,5.0,VGB
Honduras,1915.0,HND
Guyana,781.25,GUY
Falkland Islands (Malvinas),1129.7,FLK
Brunei Darussalam,3.4,BRN
Rwanda,410.0,RWA
Ukraine,7534.0,UKR
Saudi Arabia,170000.0,SAU
Sao Tome and Principe,1.0,STP
Brazil,173360.8,BRA
"Saint Helena, Ascension and Tristan da Cunha",8.0,SHN
Bulgaria,1408.0,BGR
United Arab Emirates,300.0,ARE
Samoa,12.1,WSM
Haiti,490.0,HTI
Liechtenstein,3.79,LIE
Serbia,675.0,SRB
Belarus,2568.0,BLR
Sri Lanka,440.0,LKA
Greenland,243.11,GRL
French Polynesia,20.0,PYF
Sudan,48195.0,SDN
Tunisia,4750.0,TUN
Australia and New Zealand,341283.0,unk_Australia and New Zealand
Barbados,2.0,BRB
Suriname,16.0,SUR
Greece,2882.0,GRC
Bangladesh,600.0,BGD
Sweden,461.28,SWE
Switzerland,1083.34,CHE
Ghana,7382.74,GHA
Gabon,1717.64,GAB
Bahrain,4.0,BHR
Syrian Arab Republic,8188.0,SYR
Tajikistan,3875.0,TJK
Trinidad and Tobago,7.0,TTO
Thailand,800.0,THA
Germany,4751.0,DEU
Bahamas,2.0,BHS
Timor-Leste,150.0,TLS
Austria,1258.81,AUT
Georgia,1940.0,GEO
Gambia,160.0,GMB
Azerbaijan,2423.4,AZE
Togo,1000.0,TGO
Tonga,4.0,TON
Grenada,1.0,GRD
Spain,9446.88,ESP
Belgium,475.46,BEL
Southern Europe,22295.45,unk_Southern Europe
Guinea-Bissau,265.11,GNB
Sierra Leone,2200.0,SLE
Bosnia and Herzegovina,1095.0,BIH
Guinea,10700.0,GIN
Finland,24.0,FIN
Uganda,5315.0,UGA
Slovakia,518.0,SVK
Slovenia,377.82,SVN
Small Island Developing States,6784.39,unk_Small Island Developing States
Solomon Islands,8.0,SLB
Guatemala,1811.0,GTM
France,9545.75,FRA
Turkmenistan,31838.0,TKM
Bolivia (Plurinational State of),33000.0,unk_Bolivia (Plurinational State of)
Botswana,25600.0,BWA
Australia,331557.0,AUS
Guam,8.0,GUM
Bhutan,413.0,BTN
South Africa,83928.0,ZAF
Africa,842870.15,ZAF
Benin,550.0,BEN
South Sudan,25773.2,SSD
South-eastern Asia,16853.4,unk_South-eastern Asia
Guadeloupe,24.56,FRA
French Guyana,13.7,unk_French Guyana
Turkey,14617.0,TUR
Southern Africa,150560.0,unk_Southern Africa
Belize,50.0,BLZ
Southern Asia,77987.3,unk_Southern Asia
Zimbabwe,12100.0,ZWE
Somalia,43000.0,SOM
South America,405722.45,unk_South America
Yemen,22000.0,YEM
Hungary,790.0,HUN
Mozambique,35463.83,MOZ
Morocco,21000.0,MAR
Western Sahara,5000.0,ESH
Kyrgyzstan,9004.4,KGZ
Côte d'Ivoire,13200.0,CIV
Montserrat,1.0,MSR
Venezuela (Bolivarian Republic of),18200.0,unk_Venezuela (Bolivarian Republic of)
Land Locked Developing Countries,682147.9,unk_Land Locked Developing Countries
Montenegro,243.0,MNE
Mongolia,112039.7,MNG
Lao People's Democratic Republic,675.0,LAO
Croatia,607.0,HRV
Middle Africa,131960.13,unk_Middle Africa
Micronesia (Federated States of),3.0,unk_Micronesia (Federated States of)
Cuba,2738.4,CUB
Ecuador,2901.0,ECU
American Samoa,0.07,ASM
Costa Rica,1200.0,CRI
Congo,10000.0,COG
"China, mainland",392833.0,"unk_China, mainland"
New Caledonia,174.33,NCL
Colombia,39824.0,COL
Angola,51737.49,AGO
El Salvador,314.7,SLV
Kazakhstan,184464.0,KAZ
Uzbekistan,21118.0,UZB
Netherlands,768.0,NLD
Kenya,21300.0,KEN
Net Food Importing Developing Countries,867153.91,unk_Net Food Importing Developing Countries
Comoros,15.0,COM
Vanuatu,42.0,VUT
Kuwait,136.0,KWT
Nepal,1795.3,NPL
Namibia,38000.0,NAM
Myanmar,298.0,MMR
Micronesia,13.47,FSM
Eastern Europe,113777.74,unk_Eastern Europe
Latvia,632.0,LVA
Maldives,1.0,MDV
Denmark,207.0,DNK
Malaysia,285.0,MYS
Malawi,1850.0,MWI
Eastern Africa,255622.85,unk_Eastern Africa
Liberia,1254.04,LBR
Djibouti,1700.0,DJI
Americas,759561.87,unk_Americas
Libya,13300.0,LBY
Madagascar,37295.0,MDG
Western Asia,227761.96,unk_Western Asia
Luxembourg,67.88,LUX
Dominica,2.0,DMA
Low Income Food Deficit Countries,626491.62,unk_Low Income Food Deficit Countries
