Country (ISO3),Country,Outdoor crop caloric production in 2020 (dry caloric tons),Outdoor crop fat production in 2020 (tonnes),Outdoor crop protein production in 2020 (tonnes)
AFG,Afghanistan,15899.397861052572,542.9465395263758,2145.18012302932
ALB,Albania,2392.7174479826526,155.36395309028316,274.6551835628319
DZA,Algeria,17884.213441161577,980.7421167110247,2145.995866435989
AGO,Angola,17810.967115627496,726.2859815558957,1396.7712456785864
ARG,Argentina,340070.1727117901,36525.599298802736,77954.45546181183
ARM,Armenia,1092.6905988141698,30.2640182665058,129.0152699427833
AUS,Australia,81844.78691800422,5087.03726356483,11439.7181854777
AZE,Azerbaijan,8866.556118750996,312.97235092597816,1156.5125720738317
BHR,Bahrain,18.41078500547824,0.5478255295231383,1.1256990194371297
BGD,Bangladesh,162596.45677169506,2291.502382938285,13127.281691189117
BRB,Barbados,28.414553264006543,1.419156644573399,2.0753831869488004
BLR,Belarus,27604.816745264696,1596.378926848219,3692.7423763924467
BEN,Benin,13485.032890148754,874.882667932264,1297.4522578292551
BTN,Bhutan,426.74600380021985,20.15796750674032,40.07404053987516
BOL,Bolivia (Plurinational State of),17970.745667550607,1888.5106704749157,4044.173956977293
BIH,Bosnia and Herzegovina,5372.599381587709,264.0031946676169,660.0511662012102
BWA,Botswana,522.9578895518938,18.860066843837725,64.16036969745103
BRA,Brazil,786844.9901814758,77347.9860382068,168255.64395417843
BRN,Brunei Darussalam,13.438053388416106,0.37371672591854543,1.082700110813076
BFA,Burkina Faso,15788.751560614037,1332.2985199794825,1885.0979437129513
MMR,Myanmar,92148.61352861844,3745.7121242362646,9139.184074317825
BDI,Burundi,6102.22708206512,193.70599637196628,590.4687499835067
CPV,Cabo Verde,42.280271824203496,3.8435746767561207,5.792347339454199
KHM,Cambodia,37175.09660233899,569.7869709571669,2761.8688658674137
CMR,Cameroon,25167.713026218975,2330.356795264038,2145.4657452446354
CAN,Canada,257942.06593202808,33647.7181192202,43265.466870057935
CAF,Central African Republic,2098.4108589487137,203.8934723763604,205.42627210481507
TCD,Chad,11055.83734084756,1208.2845638866324,1345.4037724980606
CHL,Chile,11731.33368098447,833.9383756079245,1281.5343568789078
CHN,China,1925223.4123002258,95915.95731768513,227299.74943873132
COL,Colombia,33211.38375457828,3414.6570435397366,2047.5063782951152
COD,Congo,48508.31690331394,1781.1706672966668,2522.125595046644
COG,Democratic Republic of the Congo,1882.871414525622,108.1635422087471,96.97006084089891
CRI,Costa Rica,4506.246823761972,486.1206511769374,175.9734529244709
CIV,C?te d'Ivoire,29792.66473562097,4069.346132632273,1693.8448352904365
CUB,Cuba,6093.958337097081,87.86424534005168,352.4688471284783
DJI,Djibouti,12.596121229429066,0.5916067298467061,2.9519190596594833
DOM,Dominican Republic,7317.926873910404,669.2924122014454,442.52529952056744
ECU,Ecuador,16035.712285312686,1529.917442125332,948.4988178992028
EGY,Egypt,75964.2539432357,2602.4120803604446,8027.183442103011
SLV,El Salvador,4637.769083235387,182.97328282424058,401.07781995633326
ERI,Eritrea,898.254936523344,47.93801327931491,119.75560783383852
SWT,Eswatini,1477.247328557897,14.331413305887468,62.49865953496964
ETH,Ethiopia,86243.73391112857,3941.9160234254678,11061.51120282892
F5707+GBR,European Union (27) + UK,936579.9597466203,62111.748222641596,121668.59148108494
FJI,Fiji,557.3872466038731,14.317397288986886,24.034054602228256
GAB,Gabon,932.8550782426737,50.655430255481555,62.68414406957575
GMB,Gambia,744.5528423506271,117.25355035266591,93.14179843673435
GEO,Georgia,1403.5057484479607,79.53793796851566,153.4139751877874
GHA,Ghana,45230.79999832354,3191.954982557909,2899.405456921957
GTM,Guatemala,18084.87753417738,1550.4195660709618,1199.2698885399557
GIN,Guinea,18363.589928226582,1464.8247195899123,1616.3347721704558
GNB,Guinea-Bissau,1101.702190055237,122.77309609687015,92.96994489837321
GUY,Guyana,2407.642746323621,91.84861453029266,163.54486904048778
HTI,Haiti,2816.2811472149197,146.56589858394545,235.4363575563558
HND,Honduras,6402.133479883677,957.7254770432257,423.2736076268961
IND,India,1121697.4978573662,52342.73533387347,124880.97934470419
IDN,Indonesia,530468.9861507067,106948.78094200187,22290.504020429576
IRN,Iran (Islamic Republic of),69049.7019786115,2744.5166420919604,8645.48781718692
IRQ,Iraq,22234.559295656454,596.3647235313982,2946.816480856686
ISR,Israel,1692.1908231998787,148.86370481061158,171.38347598667406
JAM,Jamaica,600.79444018088,58.51457030644098,39.791048752232754
JPN,Japan,33983.488296059404,415.5055606960071,3124.520326309121
JOR,Jordan,843.3983094142924,102.15741264771184,88.13783557757792
KAZ,Kazakhstan,57603.62337239566,3463.3076600356994,8213.01708007012
KEN,Kenya,20439.36941365103,873.2681125328378,2516.492263897291
KOR,Democratic People's Republic of Korea,15718.303894150431,254.08253384098882,1469.1312417998365
PRK,Republic of Korea,14495.616663735229,487.8700969584526,1682.976745011837
KWT,Kuwait,239.39698058267075,5.871510980666434,21.49475297883861
