iso3,country,crop_area_1000ha,latitude,above_lat_23_boolean,fraction_crop_area_below_lat_23
AFG,Afghanistan,8010.0,33.0,0,0.0
ALB,Albania,696.0,41.0,0,0.0
DZA,Algeria,8517.0,28.0,1,0.01107288551
AGO,Angola,5215.0,-12.5,1,0.006779980972
ARG,Argentina,33701.0,-34.0,0,0.0
ARM,Armenia,505.0,40.0,0,0.0
AUS,Australia,30920.0,-27.0,1,0.04019885171
AZE,Azerbaijan,2356.0,40.5,0,0.0
BHR,Bahrain,5.0,26.0,1,6.500461143e-06
BGD,Bangladesh,8797.0,24.0,1,0.01143691133
BRB,Barbados,8.0,13.1667,1,1.040073783e-05
BLR,Belarus,5820.0,53.0,0,0.0
BEN,Benin,3400.0,9.5,1,0.004420313577
BTN,Bhutan,100.0,27.5,1,0.0001300092229
BOL,Bolivia (Plurinational State of),4787.0,-17.0,1,0.006223541498
BIH,Bosnia and Herzegovina,1121.0,44.0,0,0.0
BWA,Botswana,262.0,-22.0,1,0.0003406241639
BRA,Brazil,63518.0,-10.0,1,0.08257925817
BRN,Brunei Darussalam,10.0,4.5,1,1.300092229e-05
BFA,Burkina Faso,6100.0,13.0,1,0.007930562594
MMR,Myanmar,12500.0,22.0,1,0.01625115286
BDI,Burundi,1550.0,-3.5,1,0.002015142954
CPV,Cabo Verde,54.0,16.0,1,7.020498034e-05
KHM,Cambodia,4066.0,13.0,1,0.005286175001
CMR,Cameroon,7750.0,6.0,1,0.01007571477
CAN,Canada,38815.0,60.0,0,0.0
CAF,Central African Republic,1880.0,7.0,1,0.00244417339
TCD,Chad,5238.0,15.0,1,0.006809883093
CHL,Chile,1656.0,-30.0,0,0.0
CHN,China,135675.0,35.0,0,0.0
COL,Colombia,9872.0,4.0,1,0.01283451048
COD,Congo,628.0,-1.0,1,0.0008164579195
COG,Democratic Republic of the Congo,13300.0,-0.756998889,1,0.01729122664
CRI,Costa Rica,576.0,10.0,1,0.0007488531236
CIV,Cote d'Ivoire,8000.0,8.280000029,1,0.01040073783
CUB,Cuba,3663.0,21.5,1,0.004762237833
DJI,Djibouti,2.0,11.5,1,2.600184457e-06
DOM,Dominican Republic,1232.0,19.0,1,0.001601713626
ECU,Ecuador,2429.0,-2.0,1,0.003157924023
EGY,Egypt,3836.0,27.0,1,0.004987153789
SLV,El Salvador,881.0,13.8333,1,0.001145381253
ERI,Eritrea,692.0,15.0,1,0.0008996638222
SWT,Eswatini,190.0,-26.5,1,0.0002470175234
ETH,Ethiopia,17903.0,8.0,1,0.02327555117
F5707+GBR,European Union (27) + UK,117497.0,47.0,0,0.0
FJI,Fiji,250.0,-18.0,1,0.0003250230571
GAB,Gabon,495.0,-1.0,1,0.0006435456531
GMB,Gambia,445.0,13.4667,1,0.0005785410417
GEO,Georgia,428.0,42.0,0,0.0
GHA,Ghana,5221.0,8.0,1,0.006787781525
GTM,Guatemala,2045.0,15.5,1,0.002658688607
GIN,Guinea,3800.0,11.0,1,0.004940350468
GNB,Guinea-Bissau,550.0,12.0,1,0.0007150507257
GUY,Guyana,460.0,5.0,1,0.0005980424251
HTI,Haiti,1350.0,19.0,1,0.001755124509
HND,Honduras,1596.0,15.0,1,0.002074947197
IND,India,169317.0,20.0,1,0.2201277159
IDN,Indonesia,51300.0,-5.0,1,0.06669473132
IRN,Iran (Islamic Republic of),17536.0,32.0,0,0.0
IRQ,Iraq,5250.0,33.0,0,0.0
ISR,Israel,478.0,31.5,0,0.0
JAM,Jamaica,215.0,18.25,1,0.0002795198291
JPN,Japan,4397.0,36.0,0,0.0
JOR,Jordan,288.0,31.0,0,0.0
KAZ,Kazakhstan,29989.0,48.0,0,0.0
KEN,Kenya,6330.0,1.0,1,0.008229583807
